case,method,run1_dice,run2_dice,persisted_baseline_dice,run_abs_diff,baseline_abs_diff_run1,run1_eq_run2_within_1e_3,run1_eq_baseline_within_1e_3
BraTS-GLI-02108-100,bspline,0.8195,0.8195,0.5378,0.0,0.28170000000000006,True,False
BraTS-GLI-02108-100,fast_marching,0.0787,0.0787,0.0787,0.0,0.0,True,True
BraTS-GLI-02108-100,gmm_2d,0.6909,0.6909,0.6909,0.0,0.0,True,True
BraTS-GLI-02108-100,gmm_T1c,0.5374,0.5374,0.5374,0.0,0.0,True,True
BraTS-GLI-02108-100,level_set,0.5378,0.5378,0.5378,0.0,0.0,True,True
BraTS-GLI-02108-100,otsu_T1c,0.6337,0.6337,0.6337,0.0,0.0,True,True
BraTS-GLI-02108-100,rango_doble,0.5888,0.5888,0.5888,0.0,0.0,True,True
BraTS-GLI-02108-100,spline,0.3709,0.3709,0.3709,0.0,0.0,True,True
BraTS-GLI-02108-100,sustraccion,0.7918,0.7918,0.7918,0.0,0.0,True,True
BraTS-GLI-02108-100,variational_spline,0.8794,0.8794,0.8595,0.0,0.019899999999999918,True,False
BraTS-GLI-00020-100,bspline,0.1535,0.1535,0.1535,0.0,0.0,True,True
BraTS-GLI-00020-100,fast_marching,0.0883,0.0883,0.0883,0.0,0.0,True,True
BraTS-GLI-00020-100,gmm_2d,0.14,0.14,0.14,0.0,0.0,True,True
BraTS-GLI-00020-100,gmm_T1c,0.1534,0.1534,0.1534,0.0,0.0,True,True
BraTS-GLI-00020-100,level_set,0.1535,0.1535,0.1535,0.0,0.0,True,True
BraTS-GLI-00020-100,otsu_T1c,0.0992,0.0992,0.0992,0.0,0.0,True,True
BraTS-GLI-00020-100,rango_doble,0.0961,0.0961,0.0961,0.0,0.0,True,True
BraTS-GLI-00020-100,spline,0.1535,0.1535,0.1535,0.0,0.0,True,True
BraTS-GLI-00020-100,sustraccion,0.185,0.185,0.185,0.0,0.0,True,True
BraTS-GLI-00020-100,variational_spline,0.1535,0.1535,0.1535,0.0,0.0,True,True
