,bspline,fast_marching,gmm_2d,gmm_T1c,level_set,otsu_T1c,rango_doble,spline,sustraccion,variational_spline
bspline,0.55,0.55,0.45,0.5,0.5,0.45,0.55,0.5,0.4,0.5
fast_marching,0.55,1.0,0.8,0.5,0.55,0.45,0.95,0.6,0.65,0.5
gmm_2d,0.45,0.8,0.8,0.4,0.45,0.35,0.8,0.45,0.6,0.4
gmm_T1c,0.5,0.5,0.4,0.5,0.5,0.45,0.5,0.5,0.4,0.5
level_set,0.5,0.55,0.45,0.5,0.55,0.45,0.55,0.5,0.4,0.5
otsu_T1c,0.45,0.45,0.35,0.45,0.45,0.45,0.45,0.45,0.35,0.45
rango_doble,0.55,0.95,0.8,0.5,0.55,0.45,0.95,0.55,0.65,0.5
spline,0.5,0.6,0.45,0.5,0.5,0.45,0.55,0.6,0.45,0.5
sustraccion,0.4,0.65,0.6,0.4,0.4,0.35,0.65,0.45,0.65,0.4
variational_spline,0.5,0.5,0.4,0.5,0.5,0.45,0.5,0.5,0.4,0.5
