case_id,method_a,method_b
BraTS-GLI-00020-100,bspline,level_set
BraTS-GLI-00020-100,bspline,spline
BraTS-GLI-00020-100,bspline,variational_spline
BraTS-GLI-00020-100,level_set,spline
BraTS-GLI-00020-100,level_set,variational_spline
BraTS-GLI-00020-100,spline,variational_spline
BraTS-GLI-00506-100,bspline,gmm_T1c
BraTS-GLI-00506-100,bspline,level_set
BraTS-GLI-00506-100,bspline,variational_spline
BraTS-GLI-00506-100,gmm_T1c,level_set
BraTS-GLI-00506-100,gmm_T1c,variational_spline
BraTS-GLI-00506-100,level_set,variational_spline
BraTS-GLI-00528-100,bspline,level_set
BraTS-GLI-00528-100,bspline,spline
BraTS-GLI-00528-100,bspline,variational_spline
BraTS-GLI-00528-100,level_set,spline
BraTS-GLI-00528-100,level_set,variational_spline
BraTS-GLI-00528-100,spline,variational_spline
BraTS-GLI-00533-100,bspline,gmm_T1c
BraTS-GLI-00533-100,bspline,level_set
BraTS-GLI-00533-100,bspline,variational_spline
BraTS-GLI-00533-100,gmm_T1c,level_set
BraTS-GLI-00533-100,gmm_T1c,variational_spline
BraTS-GLI-00533-100,level_set,variational_spline
BraTS-GLI-02078-100,bspline,gmm_T1c
BraTS-GLI-02078-100,bspline,level_set
BraTS-GLI-02078-100,bspline,variational_spline
BraTS-GLI-02078-100,gmm_T1c,level_set
BraTS-GLI-02078-100,gmm_T1c,variational_spline
BraTS-GLI-02078-100,level_set,variational_spline
BraTS-GLI-02102-100,bspline,level_set
BraTS-GLI-02102-100,bspline,spline
BraTS-GLI-02102-100,bspline,variational_spline
BraTS-GLI-02102-100,level_set,spline
BraTS-GLI-02102-100,level_set,variational_spline
BraTS-GLI-02102-100,spline,variational_spline
BraTS-GLI-02116-100,bspline,level_set
BraTS-GLI-02116-100,bspline,variational_spline
BraTS-GLI-02116-100,level_set,variational_spline
BraTS-GLI-02139-100,bspline,level_set
BraTS-GLI-02139-100,bspline,variational_spline
BraTS-GLI-02139-100,level_set,variational_spline
BraTS-GLI-02156-100,bspline,level_set
BraTS-GLI-02156-100,bspline,spline
BraTS-GLI-02156-100,bspline,variational_spline
BraTS-GLI-02156-100,level_set,spline
BraTS-GLI-02156-100,level_set,variational_spline
BraTS-GLI-02156-100,spline,variational_spline
BraTS-GLI-02169-100,bspline,variational_spline
