method,source,signals,family,key_params,shared_dependencies
otsu_T1c,src/brats_pipeline/seg_et_pipeline.py:81,cleaned T1c,intensity-threshold,threshold_multiotsu classes=3; choose brightest class; morphology erosion=1 dilation=1 keep_largest=True,cleaned T1c; _morfologia
gmm_T1c,src/brats_pipeline/seg_et_pipeline.py:96,cleaned T1c,mixture-model,GaussianMixture n_components=3 random_state=42; choose highest-mean cluster; morphology erosion=1 dilation=1 keep_largest=True,also used as roi_et_auto primary seed
sustraccion,src/brats_pipeline/seg_et_pipeline.py:117,"raw T1c, raw T1n -> mapa_dif",enhancement-threshold,joint normalization p=99.5; gaussian sigma=0.5; threshold positive mapa_dif at auto_pct=90; morphology keep_largest=False,_mapa_diferencia
gmm_2d,src/brats_pipeline/seg_et_pipeline.py:132,cleaned T1c + mapa_dif,mixture-model,GaussianMixture n_components=4 random_state=42 max_iter=200; reject dif_mean>0.40 or t1c_mean<0.8*median; score=0.4*T1c+0.6*dif,_mapa_diferencia; cleaned T1c
rango_doble,src/brats_pipeline/seg_et_pipeline.py:185,"raw T1c, raw T1n -> mapa_dif",enhancement-threshold,lower threshold=70th percentile of positive mapa_dif; upper threshold=0.55; remove components <30 vox,_mapa_diferencia
fast_marching,src/brats_pipeline/seg_et_pipeline.py:233,"raw T1c, raw T1n -> mapa_dif; automatic or manual seed",seed/front,auto seed score=T1c*mapa_dif with 0.05<mapa<0.55 and uniform_filter size=5; tiempo_umbral=35.0; sigma=0.8,_mapa_diferencia; semilla_automatica
semilla,src/brats_pipeline/seg_et_pipeline.py:318,"raw T1c, raw T1n -> mapa_dif; manual seed",seed/front,sphere radius=25; local percentile=65; morphology erosion=1 dilation=2 keep_largest=True,requires semilla_zyx; did not run in current CSV
level_set,src/brats_pipeline/seg_spline_levelset.py:212,cleaned T1c + raw T1c/T1n through shared roi_et_auto/mapa_dif,deformable-contour,GAC prop=0.8 curv=3.0 adv=1.5 iters=120; sigmoid gradient alpha=-0.05 beta=0.1; bbox margin=12,shared roi_et_auto and _post with other deformables
variational_spline,src/brats_pipeline/seg_spline_levelset.py:268,shared roi_et_auto/mapa_dif,deformable-contour,morphological_chan_vese num_iter=35 smoothing=3 lambda1=lambda2=1.0; bbox margin=12,shared roi_et_auto and _post with other deformables
bspline,src/brats_pipeline/seg_spline_levelset.py:333,shared roi_et_auto/mapa_dif,deformable-contour,Chan-Vese num_iter=35 smoothing=2; per-slice cubic periodic B-spline smooth=3.0; pct_realce=78,shared roi_et_auto and _post with other deformables; starts from Chan-Vese-like mask
spline,src/brats_pipeline/seg_spline_levelset.py:378,shared roi_et_auto/mapa_dif,deformable-contour,active_contour alpha=0.05 beta=2.0 w_line=2.0 w_edge=1.0 gamma=0.02 max_iter=25; bbox margin=8,shared roi_et_auto and _post with other deformables
