case_id,oracle_dice,winner_methods,n_winners
BraTS-GLI-00020-100,0.185,sustraccion,1
BraTS-GLI-00469-100,0.8655,gmm_T1c,1
BraTS-GLI-00506-100,0.3559,bspline;gmm_T1c;level_set;variational_spline,4
BraTS-GLI-00528-100,0.484,gmm_2d,1
BraTS-GLI-00533-100,0.2412,gmm_2d,1
BraTS-GLI-02066-100,0.7633,variational_spline,1
BraTS-GLI-02071-100,0.806,gmm_T1c,1
BraTS-GLI-02078-100,0.3147,sustraccion,1
BraTS-GLI-02086-100,0.4862,gmm_T1c,1
BraTS-GLI-02102-100,0.5503,otsu_T1c,1
BraTS-GLI-02108-100,0.8794,variational_spline,1
BraTS-GLI-02116-100,0.8282,gmm_2d,1
BraTS-GLI-02118-100,0.8308,variational_spline,1
BraTS-GLI-02139-100,0.7808,bspline;level_set;variational_spline,3
BraTS-GLI-02143-100,0.6097,sustraccion,1
BraTS-GLI-02151-100,0.8212,otsu_T1c,1
BraTS-GLI-02156-100,0.4546,sustraccion,1
BraTS-GLI-02157-100,0.804,gmm_T1c,1
BraTS-GLI-02158-100,0.8077,variational_spline,1
BraTS-GLI-02169-100,0.7725,otsu_T1c,1
