method,oracle_without_method,delta_full_minus_without,sole_best_cases,sole_above_075_cases
otsu_T1c,0.6217750000000001,0.010274999999999812,3,2
sustraccion,0.6226,0.009449999999999847,4,0
gmm_2d,0.6232150000000001,0.008834999999999815,3,0
variational_spline,0.624685,0.007364999999999844,4,1
gmm_T1c,0.6248549999999999,0.0071949999999999514,4,0
bspline,0.6320499999999999,0.0,0,0
fast_marching,0.6320499999999999,0.0,0,0
level_set,0.6320499999999999,0.0,0,0
spline,0.6320499999999999,0.0,0,0
rango_doble,0.6320499999999999,0.0,0,0
