case_id,method,path,hash,voxels,mtime
BraTS-GLI-00020-100,bspline,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_bspline.nii.gz,6448c005d3615f5c170571fb95abcabb4910694e8bb4745d8acaa58ac57a9abd,60171,2026-07-05T23:00:51.834661
BraTS-GLI-00020-100,fast_marching,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_fast_marching.nii.gz,3c2458968b5f4d8f726706bea6f04e0c77ed3e015eccfc809a25d76896a0491d,1915,2026-07-05T23:00:51.874389
BraTS-GLI-00020-100,gmm_2d,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_gmm_2d.nii.gz,6e8f3a1468ca4d0667d37e11d5762b4a60c1c303b0b5fcb8d0870e5ac3aff3a1,243400,2026-07-05T23:00:51.722176
BraTS-GLI-00020-100,gmm_T1c,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_gmm_T1c.nii.gz,d7f7b2e1302cc5000e80ba2b96fc0b62964f21b8b246ecb4bce464677771c8bf,60185,2026-07-05T23:00:51.655217
BraTS-GLI-00020-100,level_set,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_level_set.nii.gz,6448c005d3615f5c170571fb95abcabb4910694e8bb4745d8acaa58ac57a9abd,60171,2026-07-05T23:00:51.795375
BraTS-GLI-00020-100,otsu_T1c,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_otsu_T1c.nii.gz,858e416fe757392e9abf65343a609118781d9f46ed861704e6552bf7979f410a,44498,2026-07-05T23:00:51.636545
BraTS-GLI-00020-100,rango_doble,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_rango_doble.nii.gz,991a7600ed2805d65be34f504e05cd6c1714764bf60c44203d8f4201d9b115bf,387998,2026-07-05T23:00:51.775934
BraTS-GLI-00020-100,spline,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_spline.nii.gz,6448c005d3615f5c170571fb95abcabb4910694e8bb4745d8acaa58ac57a9abd,60171,2026-07-05T23:00:51.857045
BraTS-GLI-00020-100,sustraccion,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_sustraccion.nii.gz,c162ee2d0edb27d06c8198bde3118c007ddc42b2a27baebdf5ab08ba913be2dd,135180,2026-07-05T23:00:51.685345
BraTS-GLI-00020-100,variational_spline,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_variational_spline.nii.gz,6448c005d3615f5c170571fb95abcabb4910694e8bb4745d8acaa58ac57a9abd,60171,2026-07-05T23:00:51.814610
