metodo,vol_bin,n,mean_dice,median_dice,n_gt_0_4,n_le_0_01
gmm_2d,absent,33,0.0,0.0,0,33
gmm_2d,large,17,0.22258823529411764,0.2032,2,0
gmm_2d,medium,19,0.06732631578947368,0.0785,0,1
gmm_2d,small,31,0.0095,0.0064,0,21
gmm_T1c,absent,33,0.0,0.0,0,33
gmm_T1c,large,17,0.3290705882352941,0.3955,8,4
gmm_T1c,medium,19,0.028310526315789477,0.0011,0,13
gmm_T1c,small,31,0.0016387096774193547,0.0,0,30
otsu_T1c,absent,33,0.0,0.0,0,33
otsu_T1c,large,17,0.31861764705882356,0.3597,8,5
otsu_T1c,medium,19,0.00783157894736842,0.0004,0,15
otsu_T1c,small,31,0.0003387096774193548,0.0,0,31
sustraccion,absent,33,0.0,0.0,0,33
sustraccion,large,17,0.35525882352941174,0.3578,6,0
sustraccion,medium,19,0.08394736842105263,0.0858,0,1
sustraccion,small,31,0.010267741935483871,0.0081,0,20
variational_spline,absent,33,0.0,0.0,0,33
variational_spline,large,17,0.3442,0.3703,8,4
variational_spline,medium,19,0.032994736842105264,0.0011,0,12
variational_spline,small,31,0.0021645161290322584,0.0,0,30
