case_id,metodo,dice_ET_cohort,jaccard_ET_cohort,vol_GT_cohort,vol_pred_cohort,guard_branch_cohort,guard_reason_cohort,tiempo_s_cohort,case_wall_s,shared_preproc_s,dice_ET_baseline,jaccard_ET_baseline,vol_GT_baseline,vol_pred_baseline,guard_branch_baseline,guard_reason_baseline,tiempo_s_baseline,dice_delta
BraTS-GLI-02086-100,otsu_T1c,0.4452,0.2863,26344,7548,,,0.259,14.6179,2.5944,0.4452,0.2863,26344,7548,,,17.6,0.0
BraTS-GLI-02086-100,gmm_T1c,0.4862,0.3212,26344,8476,,,1.8246,14.6179,2.5944,0.4862,0.3212,26344,8476,,,17.6,0.0
BraTS-GLI-02086-100,sustraccion,0.4393,0.2815,26344,76778,,,0.2478,14.6179,2.5944,0.4393,0.2815,26344,76778,,,17.6,0.0
BraTS-GLI-02086-100,gmm_2d,0.3313,0.1985,26344,120926,,,6.1009,14.6179,2.5944,0.3313,0.1985,26344,120926,,,17.6,0.0
BraTS-GLI-02086-100,variational_spline,0.4643,0.3023,26344,8555,evolved,accepted,3.5913,14.6179,2.5944,0.4643,0.3023,26344,8555,evolved,accepted,17.6,0.0
BraTS-GLI-02143-100,otsu_T1c,0.4101,0.258,50441,23313,,,0.3097,40.0111,2.3465,0.4101,0.258,50441,23313,,,57.1,0.0
BraTS-GLI-02143-100,gmm_T1c,0.3955,0.2465,50441,22358,,,1.8179,40.0111,2.3465,0.3955,0.2465,50441,22358,,,57.1,0.0
BraTS-GLI-02143-100,sustraccion,0.6097,0.4385,50441,47660,,,0.2763,40.0111,2.3465,0.6097,0.4385,50441,47660,,,57.1,0.0
BraTS-GLI-02143-100,gmm_2d,0.5296,0.3602,50441,70217,,,6.7841,40.0111,2.3465,0.5296,0.3602,50441,70217,,,57.1,0.0
BraTS-GLI-02143-100,variational_spline,0.3703,0.2272,50441,12548,evolved,accepted,28.4767,40.0111,2.3465,0.3703,0.2272,50441,12548,evolved,accepted,57.1,0.0
BraTS-GLI-02151-100,otsu_T1c,0.8212,0.6967,39885,28341,,,0.3184,18.0861,2.7503,0.8212,0.6967,39885,28341,,,23.6,0.0
BraTS-GLI-02151-100,gmm_T1c,0.5657,0.3944,39885,15909,,,2.1922,18.0861,2.7503,0.5657,0.3944,39885,15909,,,23.6,0.0
BraTS-GLI-02151-100,sustraccion,0.5881,0.4166,39885,82501,,,0.2936,18.0861,2.7503,0.5881,0.4166,39885,82501,,,23.6,0.0
BraTS-GLI-02151-100,gmm_2d,0.2276,0.1284,39885,55095,,,5.6245,18.0861,2.7503,0.2276,0.1284,39885,55095,,,23.6,0.0
BraTS-GLI-02151-100,variational_spline,0.7433,0.5914,39885,25592,evolved,accepted,6.9072,18.0861,2.7503,0.7433,0.5914,39885,25592,evolved,accepted,23.6,0.0
