method,guard_branch,guard_reason,baseline_n,stage3a_n,delta_n
bspline,collapse-detected,collapsed_small,5.0,5.0,0
bspline,collapse-detected,low_seed_overlap,1.0,1.0,0
bspline,evolved,accepted,14.0,14.0,0
level_set,collapse-detected,collapsed_small,8.0,8.0,0
level_set,evolved,accepted,12.0,12.0,0
spline,evolved,accepted,20.0,20.0,0
variational_spline,collapse-detected,collapsed_small,1.0,1.0,0
variational_spline,collapse-detected,empty_prediction,4.0,4.0,0
variational_spline,collapse-detected,low_seed_overlap,1.0,0.0,-1
variational_spline,evolved,accepted,14.0,14.0,0
variational_spline,evolved,accepted_evidence_seed_divergence,0.0,1.0,1
