metodo,vol_bin,cases,gt_lesions,tp,fn_total,fp,cases_dominant_found,cases_dominant_missed,fn_satellite_when_dominant_found,fn_when_dominant_missed,corrected_lesionwise_mean,dominant_match_dice_mean
gmm_2d,large,17,59,33,26,3217,17,0,26,0,0.004208364003074228,0.2875019805950328
gmm_2d,medium,19,55,32,23,3188,19,0,23,0,0.0028305967808639264,0.14579198929609022
gmm_2d,small,28,66,44,22,4265,25,3,15,7,0.002976443590520274,0.2349158519686729
gmm_T1c,large,17,59,14,45,3,13,4,20,25,0.17066766237600373,0.33153774856249557
gmm_T1c,medium,19,55,13,42,6,9,10,16,26,0.019782772620888636,0.028860058618964287
gmm_T1c,small,28,66,6,60,22,3,25,4,56,0.0005976993391608808,0.001699958431996877
otsu_T1c,large,17,59,13,46,4,12,5,17,29,0.16503766733855144,0.32167010993662004
otsu_T1c,medium,19,55,10,45,9,6,13,14,31,0.0030580804641909738,0.006781436038564363
otsu_T1c,small,28,66,8,58,20,6,22,12,46,0.00016016367460125748,0.00024688905150354213
sustraccion,large,17,59,38,21,2086,17,0,21,0,0.008672524188809495,0.40104257040459146
sustraccion,medium,19,55,41,14,2990,18,1,12,2,0.005380101364847284,0.2687607987947
sustraccion,small,28,66,50,16,4778,25,3,13,3,0.003375641289721859,0.21162205977445406
variational_spline,large,17,59,14,45,3,13,4,20,25,0.17623802869724492,0.3466845561208841
variational_spline,medium,19,55,13,42,6,9,10,16,26,0.023296670420677366,0.03356192019744844
variational_spline,small,28,66,6,60,22,5,23,13,47,0.0007354880872298822,0.002189519099664197
