case_id,metodo,global_dice,corrected_lesionwise,gt_components_ge10,pred_components_ge10,tp,fn,fp,dominant_pair_dice,largest_gt_size,pred_total_vox
BraTS-GLI-02086-100,otsu_T1c,0.4451788032574059,0.2227602899074554,2,1,1,1,0,0.44552058111380144,26318,7548
BraTS-GLI-02086-100,gmm_T1c,0.4862148190695003,0.2432890683412552,2,1,1,1,0,0.48657814565729723,26318,8476
BraTS-GLI-02086-100,sustraccion,0.4393242954946568,0.0064796810038387,2,140,2,0,138,0.4723727430591878,26318,76778
BraTS-GLI-02086-100,gmm_2d,0.331269097575881,0.0055502001196146,2,108,2,0,106,0.35297611287355324,26318,120926
BraTS-GLI-02086-100,variational_spline,0.4643112983180034,0.2323287427425384,2,1,1,1,0,0.4646574713962091,26318,8555
BraTS-GLI-02143-100,otsu_T1c,0.4101201290777449,0.2050962150096893,2,1,1,1,0,0.4101924302626761,50428,23313
BraTS-GLI-02143-100,gmm_T1c,0.3955274110908117,0.1977990269660949,2,1,1,1,0,0.39559805457093394,50428,22358
BraTS-GLI-02143-100,sustraccion,0.6096981682143913,0.0089918570592999,2,69,1,1,68,0.6294299902381053,50428,47660
BraTS-GLI-02143-100,gmm_2d,0.5295960483349633,0.003163918852806,2,206,1,1,205,0.6549311760942691,50428,70217
BraTS-GLI-02143-100,variational_spline,0.370255123910524,0.1851657778024673,2,1,1,1,0,0.3703315548780488,50428,12548
BraTS-GLI-02151-100,otsu_T1c,0.8212118547181426,0.274014413356781,3,1,1,2,0,0.822043223733439,39816,28341
BraTS-GLI-02151-100,gmm_T1c,0.5656522206688891,0.1887841969728469,3,1,1,2,0,0.5663526244952893,39816,15909
BraTS-GLI-02151-100,sustraccion,0.588122824506071,0.0087209204211831,3,124,2,1,122,0.6317817183871649,39816,82501
BraTS-GLI-02151-100,gmm_2d,0.2275847546851968,0.0015700258081778,3,361,3,0,358,0.35949076289843973,39816,55095
BraTS-GLI-02151-100,variational_spline,0.7432533561403241,0.2480124831199646,3,1,1,2,0,0.7440374266144814,39816,25592
