metodo,vol_bin,n,global_dice_mean,global_dice_median,lesionwise_dice_mean,lesionwise_dice_median,lesion_detection_rate_mean,hd95_median_defined,hd95_undefined_count,overseg_ratio_median,n_global_dice_gt_0_4,n_lesionwise_dice_gt_0_4
gmm_2d,small,31,0.00949834011523081,0.006433412102726393,0.0029764435905203107,0.002029891824349761,0.7892857142857144,108.4665847162157,0,231.88215859030836,0,0
gmm_2d,medium,19,0.06731980144097587,0.07849038695698327,0.0028305967808639827,0.0008898244122974575,0.7016290726817043,93.73366524360391,0,20.52395048439182,0,0
gmm_2d,large,17,0.22258876181489748,0.20320772345063842,0.0042083640030742735,0.0031639188528060913,0.6812324929971988,85.37564055396598,0,7.086113302092516,2,0
gmm_T1c,small,31,0.0016358561505125909,0.0,0.000597699339160889,0.0,0.07142857142857142,104.93021488034071,0,65.56888888888889,0,0
gmm_T1c,medium,19,0.028303170797464465,0.0010769532014881535,0.01978277262088867,0.000369822490029037,0.306265664160401,81.84741901856161,0,3.2371658192553716,0,0
gmm_T1c,large,17,0.3290671885445175,0.3955274110908117,0.17066766237600378,0.18443356454372406,0.35280112044817924,50.17967716117751,0,1.1082178841309824,8,1
otsu_T1c,small,31,0.0003407286142693385,0.0,0.00016016367460127055,0.0,0.13214285714285715,108.46013084147063,0,151.07920792079207,0,0
otsu_T1c,medium,19,0.00782671472633909,0.0003759869657851861,0.0030580804641909994,0.00018062496383208781,0.21979949874686713,82.66801074176153,0,3.0620055197792087,0,0
otsu_T1c,large,17,0.3186186447067982,0.3596713739446485,0.16503766733855146,0.18985570967197418,0.33809523809523806,49.47726750741192,0,0.7105678826626551,8,1
sustraccion,small,31,0.01027019388154076,0.008056921628125982,0.003375641289721898,0.0024052258813753724,0.7928571428571428,108.3378973309112,0,174.21784232365144,0,0
sustraccion,medium,19,0.08395741775473589,0.08576762824161563,0.005380101364847322,0.004349268041551113,0.7808270676691729,94.43451638964746,1,13.307037643207856,0,0
sustraccion,large,17,0.3552565481890464,0.35777452823619527,0.008672524188809535,0.006649919785559177,0.726750700280112,86.72369918309528,0,3.6641766807405003,6,0
variational_spline,small,31,0.0021640854855594647,0.0,0.0007354880872298963,0.0,0.060714285714285714,108.538702752392,0,65.56888888888889,0,0
variational_spline,medium,19,0.032996201584864514,0.0010769532014881535,0.0232966704206774,0.000369822490029037,0.306265664160401,82.05485969764375,0,3.224208627193702,0,0
variational_spline,large,17,0.3442075430180247,0.37025512391052406,0.17623802869724492,0.18506111204624176,0.35280112044817924,50.24937810560445,0,0.9283626409316569,8,1
