metodo,vol_bin,n,global_dice_mean,global_dice_median,lesionwise_dice_mean,lesionwise_dice_median,lesion_detection_rate_mean,hd95_median_defined,hd95_undefined_count,overseg_ratio_median,n_global_dice_gt_0_4,n_lesionwise_dice_gt_0_4
gmm_2d,small,31,0.009498340115230767,0.0064334121027263,0.17078281219414015,0.051323976367712,0.6639849397913914,108.4665847162157,0,231.8821585903084,0,6
gmm_2d,medium,19,0.06731980144097581,0.0784903869569832,0.16767651642256068,0.078937292098999,0.5918546365914787,93.73366524360392,0,20.52395048439182,0,3
gmm_2d,large,17,0.22258876181489745,0.2032077234506384,0.13672285127070016,0.0773153379559516,0.46067162497182784,85.37564055396598,0,7.086113302092516,2,0
gmm_T1c,small,31,0.0016358561505125774,0.0,0.00041495071909299964,0.0,0.05547678128323289,104.93021488034071,0,65.56888888888889,0,0
gmm_T1c,medium,19,0.028303170797464444,0.0010769532014881,0.018238093184711573,0.0001709625357761,0.24273182957393483,81.84741901856161,0,3.237165819255372,0,0
gmm_T1c,large,17,0.32906718854451744,0.3955274110908117,0.12610778852317972,0.0788540765643119,0.23615538169290698,50.17967716117751,0,1.1082178841309824,8,1
otsu_T1c,small,31,0.00034072861426932583,0.0,0.00014035372911283208,0.0,0.11300366300366299,108.46013084147064,0,151.07920792079207,0,0
otsu_T1c,medium,19,0.007826714726339062,0.0003759869657851,0.0019372498272308349,3.270039815106429e-05,0.1593984962406015,82.66801074176153,0,3.0620055197792087,0,0
otsu_T1c,large,17,0.3186186447067982,0.3596713739446485,0.12195255346373679,0.0762875452637672,0.22635146012427956,49.47726750741192,0,0.7105678826626551,8,1
sustraccion,small,31,0.01027019388154072,0.0080569216281259,0.16411055005887792,0.0833754763007164,0.6821388289130224,108.3378973309112,0,174.21784232365144,0,5
sustraccion,medium,19,0.08395741775473584,0.0857676282416156,0.24864662918997438,0.1649239361286163,0.6883458646616541,94.43451638964743,1,13.307037643207856,0,4
sustraccion,large,17,0.3552565481890464,0.3577745282361952,0.24172129197155728,0.2098100036382675,0.4897211758266524,86.72369918309528,0,3.6641766807405,6,3
variational_spline,small,31,0.0021640854855594547,0.0,0.0005325437218303719,0.0,0.045799361928394185,108.538702752392,0,65.56888888888889,0,0
variational_spline,medium,19,0.03299620158486449,0.0010769532014881,0.021355259569980616,0.0001705056783976,0.24273182957393483,82.05485969764375,0,3.224208627193702,0,0
variational_spline,large,17,0.34420754301802464,0.370255123910524,0.1279770928479539,0.0789631605148315,0.23615538169290698,50.24937810560445,0,0.9283626409316568,8,1
