case_id,iter,raw_contour_voxels,raw_contour_dice,post_voxels,post_dice
BraTS-GLI-00506-100,0,42941,0.3559,42874,0.3547
BraTS-GLI-00506-100,5,6916,0.0232,42941,0.3559
BraTS-GLI-00506-100,15,275,0.0,42941,0.3559
BraTS-GLI-00506-100,25,0,0.0,42941,0.3559
BraTS-GLI-00506-100,35,0,0.0,42941,0.3559
BraTS-GLI-00533-100,0,15501,0.0,15501,0.0
BraTS-GLI-00533-100,5,1842,0.0,15501,0.0
BraTS-GLI-00533-100,15,0,0.0,15501,0.0
BraTS-GLI-00533-100,25,0,0.0,15501,0.0
BraTS-GLI-00533-100,35,0,0.0,15501,0.0
BraTS-GLI-02078-100,0,13220,0.0,13220,0.0
BraTS-GLI-02078-100,5,1025,0.0,13220,0.0
BraTS-GLI-02078-100,15,0,0.0,13220,0.0
BraTS-GLI-02078-100,25,0,0.0,13220,0.0
BraTS-GLI-02078-100,35,0,0.0,13220,0.0
BraTS-GLI-02116-100,0,37589,0.4481,37589,0.4481
BraTS-GLI-02116-100,5,33085,0.5944,24873,0.4925
BraTS-GLI-02116-100,15,37611,0.6485,24944,0.4901
BraTS-GLI-02116-100,25,42166,0.6927,41621,0.6959
BraTS-GLI-02116-100,35,47611,0.7433,37589,0.4481
BraTS-GLI-02139-100,0,22054,0.7808,20024,0.7402
BraTS-GLI-02139-100,5,17050,0.6384,15935,0.6507
BraTS-GLI-02139-100,15,6275,0.3163,22054,0.7808
BraTS-GLI-02139-100,25,506,0.0279,22054,0.7808
BraTS-GLI-02139-100,35,0,0.0,22054,0.7808
BraTS-GLI-02169-100,0,49134,0.6196,48910,0.6199
BraTS-GLI-02169-100,5,24540,0.7358,22220,0.7702
BraTS-GLI-02169-100,15,18873,0.7251,49134,0.6196
BraTS-GLI-02169-100,25,16837,0.6844,49134,0.6196
BraTS-GLI-02169-100,35,15623,0.6578,49134,0.6196
