case_id,intensidad_t1c,fuente
BraTS-GLI-02070-102,382.2103576660156,ET
BraTS-GLI-02072-101,249.7460479736328,ET
BraTS-GLI-02076-100,600.5164794921875,ET
BraTS-GLI-02091-103,3210.306396484375,ET
BraTS-GLI-02119-101,381.8035888671875,ET
BraTS-GLI-02131-101,194.27146911621094,ET
BraTS-GLI-02230-101,1513.598876953125,tumor
BraTS-GLI-02284-100,581.4517822265625,ET
BraTS-GLI-02289-100,1092.3197021484375,ET
BraTS-GLI-02318-100,489.2824401855469,ET
BraTS-GLI-02514-102,925.324951171875,ET
BraTS-GLI-02520-103,289.3271789550781,ET
BraTS-GLI-02548-102,240.87876892089844,ET
BraTS-GLI-02772-100,1388.2899169921875,ET
BraTS-GLI-02805-100,426.3118591308594,tumor
BraTS-GLI-02827-100,239.89920043945312,tumor
BraTS-GLI-02838-101,1650.046875,tumor
BraTS-GLI-02859-100,1517.3057861328125,tumor
BraTS-GLI-02863-100,3591.43701171875,ET
BraTS-GLI-02876-101,3622.24267578125,ET
BraTS-GLI-02877-100,864.49609375,tumor
BraTS-GLI-02916-101,1130.529296875,tumor
BraTS-GLI-02923-101,2092.712890625,tumor
BraTS-GLI-02992-101,1519.07470703125,tumor
BraTS-GLI-03025-101,2914.04833984375,ET
