case_id,modalidad,media,p99
BraTS-GLI-02070-102,t1n,337.68341064453125,482.6317138671875
BraTS-GLI-02070-102,t1c,381.2398986816406,802.7938842773438
BraTS-GLI-02070-102,t2w,533.887939453125,1143.9925537109375
BraTS-GLI-02070-102,t2f,221.42733764648438,491.63623046875
BraTS-GLI-02072-101,t1n,182.16073608398438,255.9664764404297
BraTS-GLI-02072-101,t1c,207.79823303222656,506.92437744140625
BraTS-GLI-02072-101,t2w,288.66162109375,874.1007080078125
BraTS-GLI-02072-101,t2f,142.25863647460938,271.63092041015625
BraTS-GLI-02076-100,t1n,294.6554870605469,456.1648864746094
BraTS-GLI-02076-100,t1c,331.2879943847656,694.2424926757812
BraTS-GLI-02076-100,t2w,529.3453369140625,1177.8692626953125
BraTS-GLI-02076-100,t2f,214.81887817382812,447.20733642578125
BraTS-GLI-02091-103,t1n,1775.3173828125,2825.71142578125
BraTS-GLI-02091-103,t1c,1999.0228271484375,3899.05615234375
BraTS-GLI-02091-103,t2w,828.8327026367188,1940.365478515625
BraTS-GLI-02091-103,t2f,954.0908813476562,1638.3631591796875
BraTS-GLI-02119-101,t1n,198.2146453857422,281.5437927246094
BraTS-GLI-02119-101,t1c,222.82073974609375,499.13336181640625
BraTS-GLI-02119-101,t2w,356.33514404296875,749.2250366210938
BraTS-GLI-02119-101,t2f,194.30274963378906,426.91937255859375
BraTS-GLI-02131-101,t1n,336.3207702636719,499.4923095703125
BraTS-GLI-02131-101,t1c,367.73779296875,683.2268676757812
BraTS-GLI-02131-101,t2w,508.7571105957031,1401.9560546875
BraTS-GLI-02131-101,t2f,207.20355224609375,337.2776794433594
BraTS-GLI-02230-101,t1n,1673.5830078125,2683.4541015625
BraTS-GLI-02230-101,t1c,2026.1263427734375,4605.0693359375
BraTS-GLI-02230-101,t2w,682.9795532226562,1859.1336669921875
BraTS-GLI-02230-101,t2f,787.2782592773438,1193.5390625
BraTS-GLI-02284-100,t1n,595.233642578125,973.189453125
BraTS-GLI-02284-100,t1c,781.9492797851562,2243.37744140625
BraTS-GLI-02284-100,t2w,2088.732177734375,5366.3408203125
BraTS-GLI-02284-100,t2f,701.5361938476562,1656.4285888671875
BraTS-GLI-02289-100,t1n,535.9429931640625,988.0012817382812
BraTS-GLI-02289-100,t1c,724.2616577148438,2077.40625
BraTS-GLI-02289-100,t2w,2421.80322265625,5050.82275390625
BraTS-GLI-02289-100,t2f,605.06396484375,989.4445190429688
BraTS-GLI-02318-100,t1n,579.90478515625,1037.871337890625
BraTS-GLI-02318-100,t1c,808.7800903320312,2802.30908203125
BraTS-GLI-02318-100,t2w,1848.6119384765625,4793.94580078125
BraTS-GLI-02318-100,t2f,752.4781494140625,1641.323974609375
BraTS-GLI-02514-102,t1n,275.982177734375,459.39910888671875
BraTS-GLI-02514-102,t1c,319.1439514160156,852.6237182617188
BraTS-GLI-02514-102,t2w,606.6817016601562,1430.8570556640625
BraTS-GLI-02514-102,t2f,347.46484375,616.6271362304688
BraTS-GLI-02520-103,t1n,162.20700073242188,291.5850830078125
BraTS-GLI-02520-103,t1c,180.0267791748047,375.1275329589844
BraTS-GLI-02520-103,t2w,432.4366760253906,1021.9019165039062
BraTS-GLI-02520-103,t2f,207.62551879882812,349.356689453125
BraTS-GLI-02548-102,t1n,238.51979064941406,330.6937561035156
BraTS-GLI-02548-102,t1c,267.3747863769531,505.1033630371094
BraTS-GLI-02548-102,t2w,428.6183166503906,883.5620727539062
BraTS-GLI-02548-102,t2f,91.31129455566406,166.6825408935547
BraTS-GLI-02772-100,t1n,1889.7667236328125,2418.83056640625
BraTS-GLI-02772-100,t1c,2199.68115234375,4812.3115234375
BraTS-GLI-02772-100,t2w,741.5003051757812,2043.3660888671875
BraTS-GLI-02772-100,t2f,494.2665710449219,828.9854125976562
BraTS-GLI-02805-100,t1n,745.967041015625,1120.68017578125
BraTS-GLI-02805-100,t1c,665.7509155273438,1246.142822265625
BraTS-GLI-02805-100,t2w,897.2273559570312,2028.721923828125
BraTS-GLI-02805-100,t2f,398.8901672363281,759.0825805664062
BraTS-GLI-02827-100,t1n,557.337646484375,812.5648193359375
BraTS-GLI-02827-100,t1c,570.8251953125,1130.55126953125
BraTS-GLI-02827-100,t2w,793.2285766601562,2030.46875
BraTS-GLI-02827-100,t2f,577.966796875,873.8567504882812
BraTS-GLI-02838-101,t1n,2818.2275390625,4125.19970703125
BraTS-GLI-02838-101,t1c,3021.651611328125,6089.9921875
BraTS-GLI-02838-101,t2w,1914.4898681640625,4354.076171875
BraTS-GLI-02838-101,t2f,1084.9150390625,1945.748291015625
BraTS-GLI-02859-100,t1n,1551.207763671875,2371.092529296875
BraTS-GLI-02859-100,t1c,1659.984619140625,2492.152587890625
BraTS-GLI-02859-100,t2w,1443.037353515625,4124.0439453125
BraTS-GLI-02859-100,t2f,779.0549926757812,1673.7420654296875
BraTS-GLI-02863-100,t1n,2906.049072265625,4260.9716796875
BraTS-GLI-02863-100,t1c,3095.341064453125,6109.31298828125
BraTS-GLI-02863-100,t2w,2011.5697021484375,4345.29052734375
BraTS-GLI-02863-100,t2f,804.5865478515625,1360.790283203125
BraTS-GLI-02876-101,t1n,2409.22900390625,3559.52392578125
BraTS-GLI-02876-101,t1c,2705.958984375,6502.59716796875
BraTS-GLI-02876-101,t2w,2757.928466796875,5608.9384765625
BraTS-GLI-02876-101,t2f,671.5835571289062,1370.766357421875
BraTS-GLI-02877-100,t1n,2332.376953125,3345.2841796875
BraTS-GLI-02877-100,t1c,2245.234130859375,3928.7646484375
BraTS-GLI-02877-100,t2w,804.4550170898438,2469.630126953125
BraTS-GLI-02877-100,t2f,708.6806640625,1078.126708984375
BraTS-GLI-02916-101,t1n,1817.593505859375,2357.7177734375
BraTS-GLI-02916-101,t1c,2017.1767578125,3181.193359375
BraTS-GLI-02916-101,t2w,761.168212890625,2326.5341796875
BraTS-GLI-02916-101,t2f,545.9356079101562,871.8890380859375
BraTS-GLI-02923-101,t1n,2146.42578125,2974.306396484375
BraTS-GLI-02923-101,t1c,2378.814697265625,4873.79345703125
BraTS-GLI-02923-101,t2w,1734.6771240234375,3668.769775390625
BraTS-GLI-02923-101,t2f,782.1383056640625,1284.378662109375
BraTS-GLI-02992-101,t1n,2811.523681640625,3986.572021484375
BraTS-GLI-02992-101,t1c,1734.57275390625,3443.99951171875
BraTS-GLI-02992-101,t2w,1148.8436279296875,2640.68310546875
BraTS-GLI-02992-101,t2f,766.699462890625,1241.9552001953125
BraTS-GLI-03025-101,t1n,1909.8980712890625,2662.811767578125
BraTS-GLI-03025-101,t1c,2569.9951171875,4923.88623046875
BraTS-GLI-03025-101,t2w,1839.604736328125,4073.0458984375
BraTS-GLI-03025-101,t2f,688.7359008789062,1157.1641845703125
