grupo,metodo,base,morf,sub,sub_morf
pequeno,GMM_multimodal,0.00982213383085696,0.008437137647607763,,
pequeno,Otsu,0.013023456369102812,0.3051334136376152,0.009476854298845445,0.23568081652278808
pequeno,RegionGrowing,0.293956938059665,0.30617437325896607,0.23408609698257662,0.23274972255574733
pequeno,Watershed,0.19573830600783684,0.20419792603396203,0.24666204072870024,0.24858388149180613
mediano,GMM_multimodal,0.0469448570532691,0.04608076726585166,,
mediano,Otsu,0.1529589841172329,0.3952363978288763,0.10394790602864115,0.4400746768259841
mediano,RegionGrowing,0.21985475447241382,0.22783416807082824,0.13987258141768216,0.17008668745405786
mediano,Watershed,0.1756421667316883,0.1875902462625802,0.052355048719339645,0.06182554445011511
grande,GMM_multimodal,0.20923994659960235,0.17426307359220794,,
grande,Otsu,0.323349931638438,0.3723005164012192,0.232075796933456,0.3414393252770534
grande,RegionGrowing,0.4133182860978608,0.45343174370787315,0.3193800197985689,0.36445687933085025
grande,Watershed,0.2542755658880995,0.264536872463891,0.21656447209428364,0.23635995874667218
