method,phase,phase_source,operating_point,absent_flood_rate,absent_median_fp_vox,large_lesionwise_dice,valid_operating_point,selection_note,delta_flood_ci_low,delta_flood_ci_high,clears_clean_bar
gmm_2d,baseline,analysis\stage4_metrics\stage4_absent_fp_summary.csv + analysis\stage4_metrics\stage4_present_by_vol_bin.csv,stage4_baseline_core5,1.0,94636.0,0.0042083640030742,True,raw baseline prediction,,,
gmm_T1c,baseline,analysis\stage4_metrics\stage4_absent_fp_summary.csv + analysis\stage4_metrics\stage4_present_by_vol_bin.csv,stage4_baseline_core5,0.9696969696969696,18837.0,0.1706676623760037,True,raw baseline prediction,,,
otsu_T1c,baseline,analysis\stage4_metrics\stage4_absent_fp_summary.csv + analysis\stage4_metrics\stage4_present_by_vol_bin.csv,stage4_baseline_core5,0.9393939393939394,13935.0,0.1650376673385514,True,raw baseline prediction,,,
sustraccion,baseline,analysis\stage4_metrics\stage4_absent_fp_summary.csv + analysis\stage4_metrics\stage4_present_by_vol_bin.csv,stage4_baseline_core5,0.9393939393939394,76915.0,0.0086725241888095,True,raw baseline prediction,,,
variational_spline,baseline,analysis\stage4_metrics\stage4_absent_fp_summary.csv + analysis\stage4_metrics\stage4_present_by_vol_bin.csv,stage4_baseline_core5,0.9696969696969696,18837.0,0.1762380286972449,True,raw baseline prediction,,,
otsu_T1c,p1_spatial,phase2\p1_spatial_atlas\p1_spatial_sweep_summary.csv,post_filter@0.001,0.8181818181818182,13841.0,0.151934120873407,True,lowest_fp_with_method_large_detection_ge_90pct,,,
gmm_T1c,p1_spatial,phase2\p1_spatial_atlas\p1_spatial_sweep_summary.csv,post_filter@0.001,0.8181818181818182,18512.0,0.1563565407088711,True,lowest_fp_with_method_large_detection_ge_90pct,,,
sustraccion,p1_spatial,phase2\p1_spatial_atlas\p1_spatial_sweep_summary.csv,post_filter@0.02,0.0,310.0,0.044669117032968,True,lowest_fp_with_method_large_detection_ge_90pct,,,
gmm_2d,p1_spatial,phase2\p1_spatial_atlas\p1_spatial_sweep_summary.csv,pre_filter@0.05,0.0,129.0,0.0071877855590334,True,lowest_fp_with_method_large_detection_ge_90pct,,,
variational_spline,p1_spatial,phase2\p1_spatial_atlas\p1_spatial_sweep_summary.csv,post_filter@0.001,0.8181818181818182,18518.0,0.1625716320653309,True,lowest_fp_with_method_large_detection_ge_90pct,,,
otsu_T1c,p2b_soft_shape,phase2\p2_soft_shape_sweep\p2_soft_shape_operating_points.csv,shape_score_threshold@0.01,0.7878787878787878,13772.0,0.1650376673385514,True,lowest_fp_while_large_detection_ge_90pct,-0.2727272727272727,-0.0303030303030303,True
gmm_T1c,p2b_soft_shape,phase2\p2_soft_shape_sweep\p2_soft_shape_operating_points.csv,shape_score_threshold@0,0.9696969696969696,18837.0,0.1706676623760037,True,lowest_fp_while_large_detection_ge_90pct,0.0,0.0909090909090909,False
sustraccion,p2b_soft_shape,phase2\p2_soft_shape_sweep\p2_soft_shape_operating_points.csv,shape_score_threshold@0,0.9393939393939394,76152.0,0.0086725241888095,False,closest_to_90pct_no_config_preserves_90pct,-0.1212121212121212,0.1212121212121212,False
gmm_2d,p2b_soft_shape,phase2\p2_soft_shape_sweep\p2_soft_shape_operating_points.csv,shape_score_threshold@0,1.0,94636.0,0.0042083640030742,False,closest_to_90pct_no_config_preserves_90pct,0.0,0.1515151515151515,False
variational_spline,p2b_soft_shape,phase2\p2_soft_shape_sweep\p2_soft_shape_operating_points.csv,shape_score_threshold@0.02,0.7272727272727273,14118.0,0.1632205671168562,True,lowest_fp_while_large_detection_ge_90pct,-0.3636363636363636,-0.0909090909090909,False
otsu_T1c,p3_cubical_persistence,phase2\p3_cubical_persistence\p3_key_comparison_vs_baseline.csv,train_fold_top_k_persistent_components,0.9393939393939394,13935.0,0.1650376673385514,True,fold-learned count/rank prior,0.0,0.0,
gmm_T1c,p3_cubical_persistence,phase2\p3_cubical_persistence\p3_key_comparison_vs_baseline.csv,train_fold_top_k_persistent_components,0.9696969696969696,18837.0,0.1706676623760037,True,fold-learned count/rank prior,0.0,0.0909090909090909,
sustraccion,p3_cubical_persistence,phase2\p3_cubical_persistence\p3_key_comparison_vs_baseline.csv,train_fold_top_k_persistent_components,0.9090909090909092,64675.0,0.1720585317816585,True,fold-learned count/rank prior,-0.1515151515151515,0.0909090909090909,
gmm_2d,p3_cubical_persistence,phase2\p3_cubical_persistence\p3_key_comparison_vs_baseline.csv,train_fold_top_k_persistent_components,0.9090909090909092,72438.0,0.0820828135200666,False,fold-learned count/rank prior,-0.1818181818181818,0.0909090909090909,
variational_spline,p3_cubical_persistence,phase2\p3_cubical_persistence\p3_key_comparison_vs_baseline.csv,train_fold_top_k_persistent_components,0.9696969696969696,18837.0,0.1762380286972449,True,fold-learned count/rank prior,0.0,0.0909090909090909,
