section_order,source_table,source_path,source_row_index,axis,target_scope,metodo,is_axis_best,axis_primary_metric,axis_primary_direction,n,lesionwise_dice_mean,lesionwise_dice_median,global_dice_mean,global_dice_median,hd95_median_defined,lesion_tp,lesion_fn,lesion_fp,absent_flood_gt_10000_rate,absent_fp_volume_median,absent_fp_volume_max,mode,method,selection,chosen_threshold,large_baseline,large_90pct_target,large_lesionwise,large_detection_ratio,absent_flood_rate,absent_median_fp_vox,present_dominant_found_rate,large_dominant_found_rate,first_threshold_large_drop_gt_10pct,flood_at_first_large_drop_gt_10pct,threshold,n_cases,absent_n,absent_max_fp_vox,small_n,small_lesionwise_mean,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_lesion_tp,large_lesion_fn,large_lesion_fp,large_detection_ratio_vs_baseline,large_detection_drop,keeps_large_detection_90pct,representative_curve,train_tpr,train_tnr,train_balanced_accuracy,train_fp_accept_rate,train_fn_rate,threshold_policy,feasible_tpr95,train_auc,train_n_true_et_components,train_n_fp_components,coef_log10_isoperimetric,coef_radius_over_bbox_diag,coef_radius_over_equiv_sphere,coef_log1p_eroded_subcomponents,intercept,holdout_fold,small_dominant_found_rate,medium_dominant_found_rate,delta_absent_flood_vs_otsu,delta_absent_flood_ci_low,delta_absent_flood_ci_high,paired_flood_mcnemar_p,delta_absent_median_fp_vs_otsu,paired_absent_fp_vox_delta_median_ci_low,paired_absent_fp_vox_delta_median_ci_high,paired_fp_vox_wilcoxon_p,small_detection_baseline_mean,small_retention_vs_detection_baseline,small_delta_vs_detection_best,small_delta_ci_low,small_delta_ci_high,small_paired_wilcoxon_p,small_baseline_dominant_found_rate,small_dominant_found_delta,medium_detection_baseline_mean,medium_retention_vs_detection_baseline,medium_delta_vs_detection_best,medium_delta_ci_low,medium_delta_ci_high,medium_paired_wilcoxon_p,medium_baseline_dominant_found_rate,medium_dominant_found_delta,large_detection_baseline_mean,large_retention_vs_detection_baseline,large_delta_vs_detection_best,large_delta_ci_low,large_delta_ci_high,large_paired_wilcoxon_p,large_baseline_dominant_found_rate,large_dominant_found_delta,large_detection_preserved_90pct,prior,case_id,n_components,n_fp_components,n_fp_rejected,n_fp_accepted,threshold_used,min_fp_shape_score,max_fp_shape_score,shape_score_threshold,clears_clean_bar,verdict_category,selected_method,selected_threshold,p1_flood_at_90pct,p1_median_fp_at_90pct,p1_large_detection_ratio,fold,score_engine,vol_bin,gt_vox,pred_vox,flood_gt_10000_vox,correct_absent_pred_lt_10_vox,dominant_found
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,0,detection,present_small,gmm_2d,False,lesionwise_dice_mean,higher_is_better,31.0,0.0029764435905202,0.0020298918243497,0.0094983401152307,0.0064334121027263,108.4665847162157,44.0,22.0,4551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,1,detection,present_medium,gmm_2d,False,lesionwise_dice_mean,higher_is_better,19.0,0.0028305967808639,0.0008898244122974,0.0673198014409758,0.0784903869569832,93.73366524360392,32.0,23.0,3188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,2,detection,present_large,gmm_2d,False,lesionwise_dice_mean,higher_is_better,17.0,0.0042083640030742,0.003163918852806,0.2225887618148974,0.2032077234506384,85.37564055396598,33.0,26.0,3217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,3,detection,present_small,gmm_T1c,False,lesionwise_dice_mean,higher_is_better,31.0,0.0005976993391608,0.0,0.0016358561505125,0.0,104.93021488034071,6.0,60.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,4,detection,present_medium,gmm_T1c,False,lesionwise_dice_mean,higher_is_better,19.0,0.0197827726208886,0.000369822490029,0.0283031707974644,0.0010769532014881,81.84741901856161,13.0,42.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,5,detection,present_large,gmm_T1c,False,lesionwise_dice_mean,higher_is_better,17.0,0.1706676623760037,0.184433564543724,0.3290671885445174,0.3955274110908117,50.17967716117751,14.0,45.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,6,detection,present_small,otsu_T1c,False,lesionwise_dice_mean,higher_is_better,31.0,0.0001601636746012,0.0,0.0003407286142693,0.0,108.46013084147064,8.0,58.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,7,detection,present_medium,otsu_T1c,False,lesionwise_dice_mean,higher_is_better,19.0,0.0030580804641909,0.000180624963832,0.007826714726339,0.0003759869657851,82.66801074176153,10.0,45.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,8,detection,present_large,otsu_T1c,False,lesionwise_dice_mean,higher_is_better,17.0,0.1650376673385514,0.1898557096719741,0.3186186447067982,0.3596713739446485,49.47726750741192,13.0,46.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,9,detection,present_small,sustraccion,True,lesionwise_dice_mean,higher_is_better,31.0,0.0033756412897218,0.0024052258813753,0.0102701938815407,0.0080569216281259,108.3378973309112,50.0,16.0,5244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,10,detection,present_medium,sustraccion,False,lesionwise_dice_mean,higher_is_better,19.0,0.0053801013648472,0.0043492680415511,0.0839574177547358,0.0857676282416156,94.43451638964744,41.0,14.0,2990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,11,detection,present_large,sustraccion,False,lesionwise_dice_mean,higher_is_better,17.0,0.0086725241888094,0.0066499197855591,0.3552565481890464,0.3577745282361952,86.72369918309528,38.0,21.0,2086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,12,detection,present_small,variational_spline,False,lesionwise_dice_mean,higher_is_better,31.0,0.0007354880872298,0.0,0.0021640854855594,0.0,108.538702752392,6.0,60.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,baseline_targets_per_axis,phase2\baseline_targets_per_axis.csv,13,detection,present_medium,variational_spline,True,lesionwise_dice_mean,higher_is_better,19.0,0.0232966704206773,0.000369822490029,0.0329962015848644,0.0010769532014881,82.05485969764375,13.0,42.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
