method,shape_score_threshold,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,present_dominant_found_rate,small_n,small_lesionwise_mean,small_dominant_found_rate,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_dominant_found_rate,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_dominant_found_rate,large_lesion_tp,large_lesion_fn,large_lesion_fp,large_detection_ratio,keeps_large_detection_90pct
gmm_2d,0.0,100,33,1.0,94636.0,802975,0.9402985074626866,31,0.0029764435905203107,0.8709677419354839,44,22,4551,19,0.0028305967808639827,1.0,32,23,3188,17,0.0042083640030742735,1.0,33,26,3217,0.023878864477675937,False
gmm_2d,0.001,100,33,0.9696969696969697,80673.0,802975,0.8805970149253731,31,0.002978331257980114,0.8387096774193549,43,23,4549,19,0.002790441320317577,0.8947368421052632,29,26,3186,17,0.004155039233463707,0.9411764705882353,31,28,3214,0.02357629204194941,False
gmm_2d,0.005,100,33,0.9696969696969697,28427.0,802975,0.8059701492537313,31,0.002972830357147619,0.7419354838709677,37,29,4538,19,0.0025973100191071068,0.7894736842105263,24,31,3182,17,0.0034439480630894916,0.9411764705882353,28,31,3211,0.01954145815490122,False
gmm_2d,0.01,100,33,0.9393939393939394,21418.0,63991,0.7910447761194029,31,0.00297774668774764,0.7096774193548387,35,31,4535,19,0.002573365299069433,0.7894736842105263,23,32,3182,17,0.0034439480630894916,0.9411764705882353,28,31,3211,0.01954145815490122,False
gmm_2d,0.02,100,33,0.9393939393939394,21418.0,58619,0.7313432835820896,31,0.0029736484315695372,0.6451612903225806,33,33,4534,19,0.0025057103080861885,0.7368421052631579,22,33,3182,17,0.0032616652243792916,0.8823529411764706,27,32,3210,0.01850715903082659,False
gmm_2d,0.05,100,33,0.9393939393939394,20540.0,58619,0.7164179104477612,31,0.002975062437014588,0.6451612903225806,33,33,4531,19,0.002428129019934108,0.6842105263157895,21,34,3180,17,0.003143792404229958,0.8823529411764706,26,33,3207,0.017838331644248043,False
gmm_2d,0.1,100,33,0.9393939393939394,20383.0,58619,0.7164179104477612,31,0.0029767505628634744,0.6451612903225806,33,33,4529,19,0.002429903192885257,0.6842105263157895,20,35,3177,17,0.0027049749039500005,0.8823529411764706,26,33,3200,0.015348417841173271,False
gmm_2d,0.2,100,33,0.9090909090909091,18984.0,50443,0.7164179104477612,31,0.0029787350532777574,0.6451612903225806,33,33,4525,19,0.002414145245941319,0.6842105263157895,20,35,3170,17,0.0027049749039500005,0.8823529411764706,26,33,3199,0.015348417841173271,False
gmm_2d,0.3,100,33,0.9090909090909091,17967.0,34901,0.7164179104477612,31,0.0029813522305630613,0.6451612903225806,33,33,4517,19,0.0023875791415967364,0.6842105263157895,20,35,3165,17,0.0027170418609463974,0.8823529411764706,26,33,3194,0.015416887496023567,False
gmm_2d,0.4,100,33,0.8787878787878788,17449.0,34901,0.7014925373134329,31,0.0029818767798133194,0.6129032258064516,32,34,4510,19,0.002391048041126372,0.6842105263157895,20,35,3159,17,0.0027170418609463974,0.8823529411764706,26,33,3194,0.015416887496023567,False
gmm_2d,0.5,100,33,0.8787878787878788,17449.0,34901,0.7014925373134329,31,0.0029721482247363645,0.6129032258064516,31,35,4505,19,0.0023966951237908737,0.6842105263157895,20,35,3152,17,0.0027218586790642052,0.8823529411764706,26,33,3189,0.015444218816927539,False
gmm_2d,0.55,100,33,0.8787878787878788,17449.0,34901,0.7014925373134329,31,0.002972557865307733,0.6129032258064516,31,35,4503,19,0.002396703811284265,0.6842105263157895,20,35,3151,17,0.0027219860258703515,0.8823529411764706,26,33,3185,0.015444941401077439,False
gmm_T1c,0.0,100,33,0.9696969696969697,18837.0,1420869,0.4925373134328358,31,0.000597699339160889,0.1935483870967742,6,60,25,19,0.01978277262088867,0.6842105263157895,13,42,6,17,0.17066766237600378,0.8235294117647058,14,45,3,0.9683929378782924,True
gmm_T1c,0.001,100,33,0.9696969696969697,18837.0,1420869,0.4925373134328358,31,0.000597699339160889,0.1935483870967742,6,60,25,19,0.01978277262088867,0.6842105263157895,13,42,6,17,0.17066766237600378,0.8235294117647058,14,45,3,0.9683929378782924,True
gmm_T1c,0.005,100,33,0.9696969696969697,18837.0,1420869,0.4925373134328358,31,0.000597699339160889,0.1935483870967742,6,60,25,19,0.01978277262088867,0.6842105263157895,13,42,6,17,0.17066766237600378,0.8235294117647058,14,45,3,0.9683929378782924,True
gmm_T1c,0.01,100,33,0.9696969696969697,18837.0,1420869,0.4925373134328358,31,0.000597699339160889,0.1935483870967742,6,60,25,19,0.01978277262088867,0.6842105263157895,13,42,6,17,0.17066766237600378,0.8235294117647058,14,45,3,0.9683929378782924,True
gmm_T1c,0.02,100,33,0.9090909090909091,18512.0,1420869,0.40298507462686567,31,0.0005764018815495677,0.16129032258064516,5,61,23,19,0.017562118643055374,0.5789473684210527,11,44,6,17,0.128672032707768,0.6470588235294118,11,48,3,0.7301036765953086,False
gmm_T1c,0.05,100,33,0.6363636363636364,13041.0,1420869,0.19402985074626866,31,1.6645378959115726e-05,0.06451612903225806,2,64,17,19,0.016569308148494822,0.3157894736842105,6,49,4,17,0.08110350600498564,0.29411764705882354,5,54,2,0.46019299355822585,False
gmm_T1c,0.1,100,33,0.24242424242424243,0.0,1420869,0.13432835820895522,31,1.6645378959115726e-05,0.06451612903225806,2,64,11,19,0.016356901394350355,0.15789473684210525,3,52,3,17,0.07997511721709195,0.23529411764705882,4,55,1,0.4537903527874753,False
gmm_T1c,0.2,100,33,0.18181818181818182,0.0,1420869,0.07462686567164178,31,1.6645378959115726e-05,0.06451612903225806,2,64,4,19,0.0008372282119173752,0.05263157894736842,1,54,2,17,0.06498631396714379,0.11764705882352941,2,57,0,0.3687417207711863,False
gmm_T1c,0.3,100,33,0.12121212121212122,0.0,1420869,0.05970149253731343,31,1.6645378959115726e-05,0.06451612903225806,2,64,2,19,0.0008372282119173752,0.05263157894736842,1,54,0,17,0.014311121667132658,0.058823529411764705,1,58,0,0.08120336894891961,False
gmm_T1c,0.4,100,33,0.06060606060606061,0.0,1152995,0.029850746268656716,31,0.0,0.0,0,66,2,19,0.0008372282119173752,0.05263157894736842,1,54,0,17,0.014311121667132658,0.058823529411764705,1,58,0,0.08120336894891961,False
gmm_T1c,0.5,100,33,0.030303030303030304,0.0,1046839,0.029850746268656716,31,0.0,0.0,0,66,1,19,0.0008372282119173752,0.05263157894736842,1,54,0,17,0.014311121667132658,0.058823529411764705,1,58,0,0.08120336894891961,False
gmm_T1c,0.55,100,33,0.030303030303030304,0.0,1046839,0.014925373134328358,31,0.0,0.0,0,66,1,19,0.0,0.0,0,55,0,17,0.014311121667132658,0.058823529411764705,1,58,0,0.08120336894891961,False
otsu_T1c,0.0,100,33,0.9393939393939394,13935.0,740909,0.4626865671641791,31,0.00016016367460127055,0.25806451612903225,8,58,23,19,0.0030580804641909994,0.5263157894736842,10,45,9,17,0.16503766733855146,0.7647058823529411,13,46,4,0.9364475338184004,True
