axis,target_scope,metodo,is_axis_best,axis_primary_metric,axis_primary_direction,n,lesionwise_dice_mean,lesionwise_dice_median,global_dice_mean,global_dice_median,hd95_median_defined,lesion_tp,lesion_fn,lesion_fp,absent_flood_gt_10000_rate,absent_fp_volume_median,absent_fp_volume_max
detection,present_small,gmm_2d,False,lesionwise_dice_mean,higher_is_better,31,0.002976443590520274,0.0020298918243497003,0.009498340115230767,0.0064334121027263,108.4665847162157,44.0,22.0,4551.0,,,
detection,present_medium,gmm_2d,False,lesionwise_dice_mean,higher_is_better,19,0.002830596780863927,0.0008898244122974,0.06731980144097581,0.0784903869569832,93.73366524360392,32.0,23.0,3188.0,,,
detection,present_large,gmm_2d,False,lesionwise_dice_mean,higher_is_better,17,0.004208364003074228,0.003163918852806,0.22258876181489745,0.2032077234506384,85.37564055396598,33.0,26.0,3217.0,,,
detection,present_small,gmm_T1c,False,lesionwise_dice_mean,higher_is_better,31,0.0005976993391608808,0.0,0.0016358561505125774,0.0,104.93021488034071,6.0,60.0,25.0,,,
detection,present_medium,gmm_T1c,False,lesionwise_dice_mean,higher_is_better,19,0.019782772620888636,0.000369822490029,0.028303170797464444,0.0010769532014881,81.84741901856161,13.0,42.0,6.0,,,
detection,present_large,gmm_T1c,False,lesionwise_dice_mean,higher_is_better,17,0.17066766237600373,0.184433564543724,0.32906718854451744,0.3955274110908117,50.17967716117751,14.0,45.0,3.0,,,
detection,present_small,otsu_T1c,False,lesionwise_dice_mean,higher_is_better,31,0.00016016367460125748,0.0,0.00034072861426932583,0.0,108.46013084147064,8.0,58.0,23.0,,,
detection,present_medium,otsu_T1c,False,lesionwise_dice_mean,higher_is_better,19,0.0030580804641909738,0.000180624963832,0.007826714726339062,0.0003759869657851,82.66801074176153,10.0,45.0,9.0,,,
detection,present_large,otsu_T1c,False,lesionwise_dice_mean,higher_is_better,17,0.16503766733855144,0.1898557096719741,0.3186186447067982,0.3596713739446485,49.47726750741192,13.0,46.0,4.0,,,
detection,present_small,sustraccion,True,lesionwise_dice_mean,higher_is_better,31,0.003375641289721859,0.0024052258813753,0.01027019388154072,0.0080569216281259,108.3378973309112,50.0,16.0,5244.0,,,
detection,present_medium,sustraccion,False,lesionwise_dice_mean,higher_is_better,19,0.0053801013648472834,0.0043492680415511,0.08395741775473584,0.0857676282416156,94.43451638964743,41.0,14.0,2990.0,,,
detection,present_large,sustraccion,False,lesionwise_dice_mean,higher_is_better,17,0.008672524188809497,0.0066499197855591,0.3552565481890464,0.3577745282361952,86.72369918309528,38.0,21.0,2086.0,,,
detection,present_small,variational_spline,False,lesionwise_dice_mean,higher_is_better,31,0.0007354880872298821,0.0,0.0021640854855594547,0.0,108.538702752392,6.0,60.0,25.0,,,
detection,present_medium,variational_spline,True,lesionwise_dice_mean,higher_is_better,19,0.02329667042067737,0.000369822490029,0.03299620158486449,0.0010769532014881,82.05485969764375,13.0,42.0,6.0,,,
detection,present_large,variational_spline,True,lesionwise_dice_mean,higher_is_better,17,0.1762380286972449,0.1850611120462417,0.34420754301802464,0.370255123910524,50.24937810560445,14.0,45.0,3.0,,,
fp_restraint,absent,gmm_2d,False,absent_flood_gt_10000_rate_then_median_fp,lower_is_better,33,,,,,,,,,1.0,94636.0,802975.0
fp_restraint,absent,gmm_T1c,False,absent_flood_gt_10000_rate_then_median_fp,lower_is_better,33,,,,,,,,,0.9696969696969697,18837.0,1420869.0
fp_restraint,absent,otsu_T1c,True,absent_flood_gt_10000_rate_then_median_fp,lower_is_better,33,,,,,,,,,0.9393939393939394,13935.0,740909.0
fp_restraint,absent,sustraccion,False,absent_flood_gt_10000_rate_then_median_fp,lower_is_better,33,,,,,,,,,0.9393939393939394,76915.0,135522.0
fp_restraint,absent,variational_spline,False,absent_flood_gt_10000_rate_then_median_fp,lower_is_better,33,,,,,,,,,0.9696969696969697,18837.0,278959.0
