method,metric,point_estimate,bootstrap_mean,ci95_low,ci95_high,n_cases
gmm_2d,flood_rate,1.0,1.0,1.0,1.0,33
gmm_2d,median_FP_volume,94636.0,100483.2635,87608.0,120007.0,33
gmm_2d,large_stratum_lesionwise_dice,0.004208364003074228,0.004190538973079672,0.002530779608284326,0.005981873862979443,17
gmm_T1c,flood_rate,0.9696969696969697,0.970030303030303,0.9090909090909091,1.0,33
gmm_T1c,median_FP_volume,18837.0,18983.2625,15792.0,21903.0,33
gmm_T1c,large_stratum_lesionwise_dice,0.17066766237600373,0.16975158977797955,0.09041452040358251,0.2764553568484295,17
otsu_T1c,flood_rate,0.9393939393939394,0.9389848484848485,0.8484848484848485,1.0,33
otsu_T1c,median_FP_volume,13935.0,14792.7545,13528.0,17160.0,33
otsu_T1c,large_stratum_lesionwise_dice,0.16503766733855144,0.16628064374080456,0.08403093969712189,0.265213248735274,17
sustraccion,flood_rate,0.9393939393939394,0.9404242424242424,0.8484848484848485,1.0,33
sustraccion,median_FP_volume,76915.0,76257.079,65089.0,86466.0,33
sustraccion,large_stratum_lesionwise_dice,0.008672524188809497,0.008689495570409784,0.0053644151615170185,0.013355448058299578,17
variational_spline,flood_rate,0.9696969696969697,0.968651515151515,0.9090909090909091,1.0,33
variational_spline,median_FP_volume,18837.0,19171.8985,15997.0,21903.0,33
variational_spline,large_stratum_lesionwise_dice,0.1762380286972449,0.17651140706700624,0.09501380087291604,0.2777587988006416,17
