method,metric,full,minus_overlap,delta
gmm_2d,correct_absent_rate,0.0,0.0,0.0
gmm_2d,flood_rate,1.0,1.0,0.0
gmm_2d,large_stratum_lesionwise_dice,0.004208364003074228,0.004375574519404534,0.00016721051633030587
gmm_2d,median_FP_volume_voxels,94636.0,94636.0,0.0
gmm_T1c,correct_absent_rate,0.0,0.0,0.0
gmm_T1c,flood_rate,0.9696969696969697,0.9696969696969697,0.0
gmm_T1c,large_stratum_lesionwise_dice,0.17066766237600373,0.16224842629370478,-0.008419236082298942
gmm_T1c,median_FP_volume_voxels,18837.0,18837.0,0.0
otsu_T1c,correct_absent_rate,0.0,0.0,0.0
otsu_T1c,flood_rate,0.9393939393939394,0.9393939393939394,0.0
otsu_T1c,large_stratum_lesionwise_dice,0.16503766733855144,0.15026924474867492,-0.014768422589876512
otsu_T1c,median_FP_volume_voxels,13935.0,13935.0,0.0
sustraccion,correct_absent_rate,0.0,0.0,0.0
sustraccion,flood_rate,0.9393939393939394,0.9393939393939394,0.0
sustraccion,large_stratum_lesionwise_dice,0.008672524188809497,0.00880288948038855,0.0001303652915790529
sustraccion,median_FP_volume_voxels,76915.0,76915.0,0.0
variational_spline,correct_absent_rate,0.0,0.0,0.0
variational_spline,flood_rate,0.9696969696969697,0.9696969696969697,0.0
variational_spline,large_stratum_lesionwise_dice,0.1762380286972449,0.1664671060134424,-0.009770922683802502
variational_spline,median_FP_volume_voxels,18837.0,18837.0,0.0
