phase,axis,best_or_worst,method,absent_flood_rate,absent_median_fp_vox,large_lesionwise_dice,operating_point
baseline,Detection,best,variational_spline,0.9696969696969696,18837.0,0.1762380286972449,stage4_baseline_core5
baseline,Detection,worst,gmm_2d,1.0,94636.0,0.0042083640030742,stage4_baseline_core5
baseline,FP-restraint,best,otsu_T1c,0.9393939393939394,13935.0,0.1650376673385514,stage4_baseline_core5
baseline,FP-restraint,worst,gmm_2d,1.0,94636.0,0.0042083640030742,stage4_baseline_core5
p1_spatial,Detection,best,variational_spline,0.8181818181818182,18518.0,0.1625716320653309,post_filter@0.001
p1_spatial,Detection,worst,gmm_2d,0.0,129.0,0.0071877855590334,pre_filter@0.05
p1_spatial,FP-restraint,best,gmm_2d,0.0,129.0,0.0071877855590334,pre_filter@0.05
p1_spatial,FP-restraint,worst,variational_spline,0.8181818181818182,18518.0,0.1625716320653309,post_filter@0.001
p2b_soft_shape,Detection,best,gmm_T1c,0.9696969696969696,18837.0,0.1706676623760037,shape_score_threshold@0
p2b_soft_shape,Detection,worst,gmm_2d,1.0,94636.0,0.0042083640030742,shape_score_threshold@0
p2b_soft_shape,FP-restraint,best,variational_spline,0.7272727272727273,14118.0,0.1632205671168562,shape_score_threshold@0.02
p2b_soft_shape,FP-restraint,worst,gmm_2d,1.0,94636.0,0.0042083640030742,shape_score_threshold@0
p3_cubical_persistence,Detection,best,variational_spline,0.9696969696969696,18837.0,0.1762380286972449,train_fold_top_k_persistent_components
p3_cubical_persistence,Detection,worst,gmm_2d,0.9090909090909092,72438.0,0.0820828135200666,train_fold_top_k_persistent_components
p3_cubical_persistence,FP-restraint,best,sustraccion,0.9090909090909092,64675.0,0.1720585317816585,train_fold_top_k_persistent_components
p3_cubical_persistence,FP-restraint,worst,variational_spline,0.9696969696969696,18837.0,0.1762380286972449,train_fold_top_k_persistent_components
