method,construction_type,construction_note,is_core_stage4_method,phase1_keep_cut,phase1_mean_dice_original20,phase1_oracle_delta,phase1_sole_best_cases,phase1_sole_above_075_cases,phase1_source,stage4_small_n,stage4_small_lesionwise_mean,stage4_small_global_dice_mean,stage4_small_detection_rate_mean,stage4_small_source,stage4_medium_n,stage4_medium_lesionwise_mean,stage4_medium_global_dice_mean,stage4_medium_detection_rate_mean,stage4_medium_source,stage4_large_n,stage4_large_lesionwise_mean,stage4_large_global_dice_mean,stage4_large_detection_rate_mean,stage4_large_source,stage4_absent_n,stage4_absent_flood_rate,stage4_absent_median_fp_vox,stage4_absent_max_fp_vox,stage4_absent_source,stage4_present_lesionwise_all_mean,stage4_present_lesion_tp,stage4_present_lesion_fn,stage4_present_lesion_fp,stage4_rank_sum,stage4_ranking_source,p1_mode,p1_threshold,p1_absent_flood_rate,p1_absent_median_fp_vox,p1_large_lesionwise,p1_large_detection_ratio,p1_large_dominant_found_rate,p1_source,p2a_absent_flood_rate,p2a_absent_median_fp_vox,p2a_delta_flood_vs_otsu,p2a_large_lesionwise,p2a_large_detection_ratio,p2a_large_dominant_found_rate,p2a_preserves_large_90pct,p2a_source,p2b_selection,p2b_threshold,p2b_absent_flood_rate,p2b_absent_median_fp_vox,p2b_delta_flood_vs_otsu,p2b_delta_flood_ci_low,p2b_delta_flood_ci_high,p2b_delta_median_fp_vs_otsu,p2b_large_lesionwise,p2b_large_detection_ratio,p2b_large_dominant_found_rate,p2b_clears_clean_bar,p2b_source
gmm_2d,intensity/statistical,Gaussian mixture over 2D intensity feature space,True,KEEP,0.3738,0.0088349999999998,3,0,analysis/keep_cut_updated.csv,31.0,0.0029764435905203,0.0094983401152308,0.7892857142857144,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,19.0,0.0028305967808639,0.0673198014409758,0.7016290726817043,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,17.0,0.0042083640030742,0.2225887618148974,0.6812324929971988,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,33.0,1.0,94636.0,802975.0,analysis/stage4_metrics/stage4_absent_fp_summary.csv,0.0032603741784882,109.0,71.0,10956.0,15.0,analysis/stage4_metrics/stage4_method_ranking_detection_vs_fp.csv,,,,,,,,,0.8787878787878788,17449.0,-0.0606060606060606,0.0027218786361599,0.0154443320563677,0.8823529411764706,False,phase2/p2_shape_prior/p2_shape_key_comparison_table.csv,closest_to_90pct_no_config_preserves_90pct,0.0,1.0,94636.0,0.0606060606060606,0.0,0.1515151515151515,80701.0,0.0042083640030742,0.0238788644776759,1.0,False,phase2/p2_soft_shape_sweep/p2_soft_shape_operating_points.csv
gmm_T1c,intensity/statistical,Gaussian mixture over T1c intensities,True,KEEP,0.481,0.0071949999999999,4,0,analysis/keep_cut_updated.csv,31.0,0.0005976993391608,0.0016358561505125,0.0714285714285714,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,19.0,0.0197827726208886,0.0283031707974644,0.306265664160401,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,17.0,0.1706676623760037,0.3290671885445175,0.3528011204481792,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,33.0,0.9696969696969696,18837.0,1420869.0,analysis/stage4_metrics/stage4_absent_fp_summary.csv,0.0514681019013352,33.0,147.0,34.0,7.0,analysis/stage4_metrics/stage4_method_ranking_detection_vs_fp.csv,,,,,,,,,0.0303030303030303,0.0,-0.9090909090909092,0.0143111216671326,0.0812033689489196,0.0588235294117647,False,phase2/p2_shape_prior/p2_shape_key_comparison_table.csv,lowest_fp_while_large_detection_ge_90pct,0.0,0.9696969696969696,18837.0,0.0303030303030303,0.0,0.0909090909090909,4902.0,0.1706676623760037,0.9683929378782924,0.8235294117647058,False,phase2/p2_soft_shape_sweep/p2_soft_shape_operating_points.csv
otsu_T1c,intensity/statistical,Otsu threshold over T1c intensities,True,KEEP,0.4854,0.0102749999999998,3,2,analysis/keep_cut_updated.csv,31.0,0.0001601636746012,0.0003407286142693,0.1321428571428571,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,19.0,0.0030580804641909,0.007826714726339,0.2197994987468671,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,17.0,0.1650376673385514,0.3186186447067982,0.338095238095238,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,33.0,0.9393939393939394,13935.0,740909.0,analysis/stage4_metrics/stage4_absent_fp_summary.csv,0.0448160696322474,31.0,149.0,36.0,5.0,analysis/stage4_metrics/stage4_method_ranking_detection_vs_fp.csv,,,,,,,,,0.0,0.0,-0.9393939393939394,0.0131035464651444,0.074351413040682,0.0588235294117647,False,phase2/p2_shape_prior/p2_shape_key_comparison_table.csv,lowest_fp_while_large_detection_ge_90pct,0.01,0.7878787878787878,13772.0,-0.1515151515151515,-0.2727272727272727,-0.0303030303030303,-163.0,0.1650376673385514,0.9364475338184004,0.7647058823529411,True,phase2/p2_soft_shape_sweep/p2_soft_shape_operating_points.csv
rango_doble,intensity/statistical,double intensity range rule,False,CUT,0.2382,0.0,0,0,analysis/keep_cut_updated.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sustraccion,intensity/statistical,T1c-T1n enhancement subtraction/intensity contrast,True,KEEP,0.4467,0.0094499999999998,4,0,analysis/keep_cut_updated.csv,31.0,0.0033756412897218,0.0102701938815407,0.7928571428571428,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,19.0,0.0053801013648473,0.0839574177547358,0.7808270676691729,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,17.0,0.0086725241888095,0.3552565481890464,0.726750700280112,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,33.0,0.9393939393939394,76915.0,135522.0,analysis/stage4_metrics/stage4_absent_fp_summary.csv,0.0053776998945949,129.0,51.0,10320.0,9.0,analysis/stage4_metrics/stage4_method_ranking_detection_vs_fp.csv,,,,,,,,,0.4545454545454545,9711.0,-0.4848484848484848,0.0056780279402279,0.0322179496797599,0.9411764705882352,False,phase2/p2_shape_prior/p2_shape_key_comparison_table.csv,closest_to_90pct_no_config_preserves_90pct,0.0,0.9393939393939394,76152.0,0.0,-0.1212121212121212,0.1212121212121212,62217.0,0.0086725241888095,0.0492091533984861,1.0,False,phase2/p2_soft_shape_sweep/p2_soft_shape_operating_points.csv
level_set,deformable/region-based,level-set PDE,False,CUT,0.4555,0.0,0,0,analysis/keep_cut_updated.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variational_spline,deformable/region-based,Chan-Vese evolving contour / region energy,True,KEEP,0.5067,0.0073649999999998,4,1,analysis/keep_cut_updated.csv,31.0,0.0007354880872298,0.0021640854855594,0.0607142857142857,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,19.0,0.0232966704206774,0.0329962015848645,0.306265664160401,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,17.0,0.1762380286972449,0.3442075430180247,0.3528011204481792,analysis/stage4_metrics/stage4_present_by_vol_bin.csv,33.0,0.9696969696969696,18837.0,278959.0,analysis/stage4_metrics/stage4_absent_fp_summary.csv,0.0540512014420073,33.0,147.0,34.0,6.0,analysis/stage4_metrics/stage4_method_ranking_detection_vs_fp.csv,post_filter,0.001,0.8181818181818182,18518.0,0.1625716320653309,0.9224548939128728,0.7647058823529411,phase2/p1_spatial_atlas/tradeoff_analysis/p1_fixed_detection_cost_operating_points.csv,0.0,0.0,-0.9393939393939394,0.1113593920188791,0.6318692556995221,0.2941176470588235,False,phase2/p2_shape_prior/p2_shape_key_comparison_table.csv,lowest_fp_while_large_detection_ge_90pct,0.02,0.7272727272727273,14118.0,-0.2121212121212121,-0.3636363636363636,-0.0909090909090909,183.0,0.1632205671168562,0.9261370450145524,0.7647058823529411,False,phase2/p2_soft_shape_sweep/p2_soft_shape_operating_points.csv
bspline,deformable/control-point,B-spline/control point enclosure,False,CUT,0.481,0.0,0,0,analysis/keep_cut_updated.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spline,deformable/control-point,spline/control point enclosure,False,CUT,0.45,0.0,0,0,analysis/keep_cut_updated.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fast_marching,front-propagation,fast marching front propagation,False,CUT,0.1846,0.0,0,0,analysis/keep_cut_updated.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
