prior_stage,method,construction_type,mode,threshold,absent_flood_rate,absent_median_fp_vox,large_lesionwise,large_detection_ratio,keeps_large_detection_90pct,source
P1_spatial,atlas_map,atlas/map,map_atlas_x_enhancement,0.0,1.0,7221032.0,0.0035061000748742,0.019894117636195568,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,atlas_map,atlas/map,map_atlas_x_enhancement,0.0001,1.0,45344.0,0.0080926285248578,0.04591874174194228,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,atlas_map,atlas/map,map_atlas_x_enhancement,0.0002,1.0,37278.0,0.0085105520958998,0.04829010037623534,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,atlas_map,atlas/map,map_atlas_x_enhancement,0.0005,1.0,28985.0,0.0088705926447052,0.05033302239180047,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,atlas_map,atlas/map,map_atlas_x_enhancement,0.001,1.0,22221.0,0.0085799602623891,0.04868393232614062,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,atlas_map,atlas/map,map_atlas_x_enhancement,0.002,0.8181818181818182,14611.0,0.0089804214328657,0.05095620678039331,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,atlas_map,atlas/map,map_atlas_x_enhancement,0.005,0.2424242424242424,7031.0,0.0080625143935937,0.04574786981670172,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,atlas_map,atlas/map,map_atlas_x_enhancement,0.01,0.0,2681.0,0.0068536748756955,0.038888739997593055,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,atlas_map,atlas/map,map_atlas_x_enhancement,0.02,0.0,284.0,0.0095617104568244,0.05425452456263134,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,atlas_map,atlas/map,map_atlas_x_enhancement,0.05,0.0,0.0,0.0001248112581807,0.0007081970849498679,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,post_filter,0.0,1.0,94636.0,0.0042083640030742,0.02387886447767552,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,post_filter,0.001,1.0,83406.0,0.0111259938986383,0.06313049448454386,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,post_filter,0.002,0.9393939393939394,78025.0,0.0096457659447504,0.0547314675274803,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,post_filter,0.005,0.4848484848484848,9952.0,0.0089714875226919,0.05090551448520685,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
