case_id,source,size_xyz,spacing,origin,direction,matches_reference
BraTS-GLI-00009-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-00009-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-00046-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-00046-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-00543-101,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-00543-101,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-00548-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-00548-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-00549-100,clean_t1c,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
BraTS-GLI-00549-100,clean_seg,182x218x182,"(1.0, 1.0, 1.0)","(-90.0, 126.0, -72.0)","(1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0)",True
