mode,method,threshold,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,small_n,small_lesionwise_mean,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_lesion_tp,large_lesion_fn,large_lesion_fp
map_atlas_x_enhancement,atlas_map,0.0,100,33,1.0,7221032.0,7221032,31,7.656539199680472e-05,28,38,3,19,0.000630880925822758,19,36,0,17,0.003506100074874292,17,42,0
map_atlas_x_enhancement,atlas_map,0.0001,100,33,1.0,45344.0,91541,31,0.0021459233362942803,33,33,2579,19,0.004105136417293627,33,22,1642,17,0.008092628524857847,31,28,1427
map_atlas_x_enhancement,atlas_map,0.0002,100,33,1.0,37278.0,77822,31,0.0021835186585771487,32,34,2540,19,0.004344671428522193,33,22,1683,17,0.008510552095899852,33,26,1396
map_atlas_x_enhancement,atlas_map,0.0005,100,33,1.0,28985.0,57542,31,0.0022853506811121144,31,35,2421,19,0.004861200294200037,34,21,1640,17,0.008870592644705218,34,25,1325
map_atlas_x_enhancement,atlas_map,0.001,100,33,1.0,22221.0,41206,31,0.002847642860225668,29,37,2132,19,0.005916105820736112,35,20,1499,17,0.008579960262389196,32,27,1167
map_atlas_x_enhancement,atlas_map,0.002,100,33,0.8181818181818182,14611.0,26071,31,0.0031381201520811635,25,41,1785,19,0.00628951084447755,30,25,1303,17,0.008980421432865756,29,30,936
map_atlas_x_enhancement,atlas_map,0.005,100,33,0.24242424242424243,7031.0,13635,31,0.0031084262019638637,15,51,1234,19,0.005763393612716372,27,28,897,17,0.008062514393593708,25,34,650
map_atlas_x_enhancement,atlas_map,0.01,100,33,0.0,2681.0,6642,31,0.002626611724346211,8,58,648,19,0.005022517118432964,19,36,432,17,0.006853674875695587,19,40,353
map_atlas_x_enhancement,atlas_map,0.02,100,33,0.0,284.0,2534,31,0.002775217539497784,2,64,152,19,0.008685810721209762,9,46,96,17,0.009561710456824479,10,49,90
map_atlas_x_enhancement,atlas_map,0.05,100,33,0.0,0.0,71,31,0.0,0,66,7,19,0.0,0,55,4,17,0.00012481125818072434,2,57,4
post_filter,gmm_2d,0.0,100,33,1.0,94636.0,802975,31,0.0029764435905203107,44,22,4551,19,0.0028305967808639827,32,23,3188,17,0.0042083640030742735,33,26,3217
post_filter,gmm_2d,0.001,100,33,1.0,83406.0,801624,31,0.005944759646646551,31,35,1639,19,0.006949099557363968,31,24,1297,17,0.011125993898638305,31,28,1208
post_filter,gmm_2d,0.002,100,33,0.9393939393939394,78025.0,801524,31,0.005906865343409403,28,38,1414,19,0.005122587806238842,26,29,1149,17,0.009645765944750403,29,30,1058
post_filter,gmm_2d,0.005,100,33,0.48484848484848486,9952.0,799351,31,0.007503448798161116,17,49,1043,19,0.005185529182199389,18,37,816,17,0.008971487522691913,22,37,800
post_filter,gmm_2d,0.01,100,33,0.0,1704.0,7266,31,0.005240073627127069,7,59,673,19,0.006567039807314838,10,45,539,17,0.009230848652591436,12,47,543
post_filter,gmm_2d,0.02,100,33,0.0,420.0,3535,31,0.0,0,66,205,19,0.011556812114768514,6,49,165,17,0.014215367088635342,5,54,164
post_filter,gmm_2d,0.05,100,33,0.0,0.0,184,31,0.0,0,66,15,19,0.011991203695192541,2,53,13,17,0.0,0,59,11
post_filter,gmm_2d,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,gmm_2d,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,gmm_T1c,0.0,100,33,0.9696969696969697,18837.0,1420869,31,0.000597699339160889,6,60,25,19,0.01978277262088867,13,42,6,17,0.17066766237600378,14,45,3
post_filter,gmm_T1c,0.001,100,33,0.8181818181818182,18512.0,1420869,31,0.0005802194704886331,5,61,22,19,0.0197738756388916,12,43,6,17,0.15635654070887112,13,46,2
post_filter,gmm_T1c,0.002,100,33,0.7272727272727273,16573.0,1420869,31,0.0005802194704886331,5,61,16,19,0.01976382477962608,11,44,5,17,0.13636433775023118,11,48,2
post_filter,gmm_T1c,0.005,100,33,0.45454545454545453,0.0,1420869,31,0.0005802194704886331,5,61,9,19,0.016285197564253683,5,50,3,17,0.12065894069040523,7,52,0
post_filter,gmm_T1c,0.01,100,33,0.030303030303030304,0.0,11004,31,0.0,0,66,2,19,0.0,0,55,1,17,0.040636619224267846,3,56,0
post_filter,gmm_T1c,0.02,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.011635236880358528,1,58,0
post_filter,gmm_T1c,0.05,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,gmm_T1c,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,gmm_T1c,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,otsu_T1c,0.0,100,33,0.9393939393939394,13935.0,740909,31,0.00016016367460127055,8,58,23,19,0.0030580804641909994,10,45,9,17,0.16503766733855146,13,46,4
post_filter,otsu_T1c,0.001,100,33,0.8181818181818182,13841.0,740909,31,0.00016016367460127055,8,58,19,19,0.0030485738871472053,9,46,8,17,0.15193412087340702,12,47,2
post_filter,otsu_T1c,0.002,100,33,0.696969696969697,13528.0,740909,31,0.00016016367460127055,8,58,13,19,0.0030485738871472053,9,46,7,17,0.13622786221180028,11,48,2
post_filter,otsu_T1c,0.005,100,33,0.42424242424242425,0.0,740909,31,0.00016016367460127055,8,58,9,19,0.0013670117263437102,6,49,3,17,0.11613974961287835,7,52,0
post_filter,otsu_T1c,0.01,100,33,0.030303030303030304,0.0,10295,31,0.0,0,66,2,19,0.0,0,55,1,17,0.041856063639416415,3,56,0
post_filter,otsu_T1c,0.02,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.02599438761963564,2,57,0
post_filter,otsu_T1c,0.05,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,otsu_T1c,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,otsu_T1c,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,sustraccion,0.0,100,33,0.9393939393939394,76915.0,135522,31,0.003375641289721898,50,16,5244,19,0.005380101364847322,41,14,2990,17,0.008672524188809535,38,21,2086
post_filter,sustraccion,0.001,100,33,0.8484848484848485,70986.0,123170,31,0.005678548323917961,36,30,2018,19,0.011552469220700195,36,19,1138,17,0.02231005036874729,37,22,740
post_filter,sustraccion,0.002,100,33,0.7878787878787878,67492.0,123094,31,0.0063532622771163005,34,32,1733,19,0.01193566979916221,34,21,991,17,0.02454592639739584,35,24,639
post_filter,sustraccion,0.005,100,33,0.3333333333333333,2915.0,105586,31,0.007204006248814819,22,44,1266,19,0.011999054786811987,23,32,740,17,0.023095027562864263,21,38,467
post_filter,sustraccion,0.01,100,33,0.030303030303030304,1410.0,88881,31,0.005364397573950035,9,57,833,19,0.015233779056487899,18,37,485,17,0.024302193030855374,14,45,311
post_filter,sustraccion,0.02,100,33,0.0,310.0,1220,31,0.0,0,66,259,19,0.021401472879867805,11,44,135,17,0.044669117032968,8,51,93
post_filter,sustraccion,0.05,100,33,0.0,0.0,338,31,0.0,0,66,27,19,0.01983113513377152,2,53,9,17,0.0,0,59,5
post_filter,sustraccion,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,sustraccion,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,variational_spline,0.0,100,33,0.9696969696969697,18837.0,278959,31,0.0007354880872298963,6,60,25,19,0.0232966704206774,13,42,6,17,0.17623802869724492,14,45,3
post_filter,variational_spline,0.001,100,33,0.8181818181818182,18518.0,278959,31,0.0007180124947418724,5,61,22,19,0.023287773940338458,12,43,6,17,0.1625716320653309,13,46,2
post_filter,variational_spline,0.002,100,33,0.7272727272727273,16574.0,278959,31,0.0007180124947418724,5,61,16,19,0.02327772308107294,11,44,5,17,0.14255714485839502,11,48,2
post_filter,variational_spline,0.005,100,33,0.30303030303030304,0.0,167058,31,0.0005895217015807118,2,64,7,19,0.016875150219053274,4,51,3,17,0.12336590666981305,7,52,0
post_filter,variational_spline,0.01,100,33,0.030303030303030304,0.0,11005,31,0.0,0,66,2,19,0.0,0,55,1,17,0.04379480901886435,3,56,0
post_filter,variational_spline,0.02,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.03290886125143837,2,57,0
post_filter,variational_spline,0.05,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,variational_spline,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
post_filter,variational_spline,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
pre_filter,gmm_2d,0.0,100,33,1.0,94636.0,802975,31,0.0029764435905203107,44,22,4551,19,0.0028305967808639827,32,23,3188,17,0.0042083640030742735,33,26,3217
pre_filter,gmm_2d,0.001,100,33,1.0,34069.0,359199,31,0.004862560464971466,38,28,2712,19,0.0063377410865780946,34,21,2124,17,0.007318727207294775,37,22,1990
pre_filter,gmm_2d,0.002,100,33,1.0,29766.0,318574,31,0.005365469880156785,39,27,2513,19,0.00669116172694454,34,21,1989,17,0.007846423507811884,36,23,1838
pre_filter,gmm_2d,0.005,100,33,0.9696969696969697,22955.0,249890,31,0.00590560132851741,34,32,2193,19,0.007001303300249243,32,23,1749,17,0.008448860946159317,39,20,1585
pre_filter,gmm_2d,0.01,100,33,0.7575757575757576,15866.0,171821,31,0.004747334509634779,27,39,1762,19,0.0077019013498150005,31,24,1378,17,0.009353362106005935,33,26,1305
pre_filter,gmm_2d,0.02,100,33,0.09090909090909091,5013.0,48877,31,0.001987076023527022,7,59,770,19,0.010605765344256437,24,31,560,17,0.011859693913720548,21,38,508
pre_filter,gmm_2d,0.05,100,33,0.0,129.0,5664,31,0.0,0,66,81,19,0.01629594610207469,8,47,83,17,0.007187785559033407,8,51,49
pre_filter,gmm_2d,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
pre_filter,gmm_2d,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
pre_filter,gmm_T1c,0.0,100,33,0.9696969696969697,18837.0,1420869,31,0.000597699339160889,6,60,25,19,0.01978277262088867,13,42,6,17,0.17066766237600378,14,45,3
pre_filter,gmm_T1c,0.001,100,33,0.30303030303030304,7272.0,561239,31,0.0002690638518093432,5,61,222,19,0.01334158996254892,11,44,133,17,0.04731740683371968,12,47,87
pre_filter,gmm_T1c,0.002,100,33,0.2727272727272727,6801.0,504571,31,0.0003716351949216395,5,61,236,19,0.013770102177084865,12,43,131,17,0.0406740695813342,12,47,90
pre_filter,gmm_T1c,0.005,100,33,0.24242424242424243,4975.0,405473,31,0.0005195088451078586,5,61,236,19,0.01240647817030549,11,44,136,17,0.04555447110632325,12,47,79
pre_filter,gmm_T1c,0.01,100,33,0.24242424242424243,2834.0,289781,31,0.0009071879331697476,5,61,228,19,0.016402285183032387,11,44,136,17,0.03809534029364038,12,47,70
pre_filter,gmm_T1c,0.02,100,33,0.24242424242424243,776.0,118159,31,0.0023824568662738394,2,64,176,19,0.01577646066250868,9,46,105,17,0.032529834318933463,11,48,38
pre_filter,gmm_T1c,0.05,100,33,0.09090909090909091,0.0,19177,31,2.6632576399216695e-05,1,65,25,19,0.0006265441801300959,2,53,18,17,0.0012045841910602415,5,54,10
pre_filter,gmm_T1c,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
pre_filter,gmm_T1c,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
pre_filter,otsu_T1c,0.0,100,33,0.9393939393939394,13935.0,740909,31,0.00016016367460127055,8,58,23,19,0.0030580804641909994,10,45,9,17,0.16503766733855146,13,46,4
pre_filter,otsu_T1c,0.001,100,33,0.21212121212121213,5770.0,308986,31,0.0006936599170980376,10,56,289,19,0.0009338104060397631,8,47,157,17,0.055305744233705545,11,48,72
pre_filter,otsu_T1c,0.002,100,33,0.21212121212121213,5067.0,274755,31,0.0003487868305325849,11,55,298,19,0.001168660674777225,8,47,174,17,0.05594201928333325,11,48,73
pre_filter,otsu_T1c,0.005,100,33,0.21212121212121213,3920.0,221870,31,0.00011572793771717573,10,56,313,19,0.004610801544530611,9,46,174,17,0.0550015787320102,11,48,63
pre_filter,otsu_T1c,0.01,100,33,0.21212121212121213,2362.0,161393,31,0.00040385802242326463,9,57,286,19,0.00436927812896963,9,46,163,17,0.045195500065079504,11,48,56
pre_filter,otsu_T1c,0.02,100,33,0.21212121212121213,736.0,68541,31,0.0011923033744096756,2,64,239,19,0.004612008599858535,9,46,145,17,0.04224903569282854,9,50,37
pre_filter,otsu_T1c,0.05,100,33,0.06060606060606061,0.0,12752,31,0.0,0,66,39,19,0.0008056361326261571,2,53,26,17,0.0010014700357500901,4,55,10
pre_filter,otsu_T1c,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
pre_filter,otsu_T1c,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
pre_filter,sustraccion,0.0,100,33,0.9393939393939394,76915.0,135522,31,0.003375641289721898,50,16,5244,19,0.005380101364847322,41,14,2990,17,0.008672524188809535,38,21,2086
pre_filter,sustraccion,0.001,100,33,0.8484848484848485,28418.0,77964,31,0.0053321795239753556,42,24,3032,19,0.009173208614811301,39,16,1781,17,0.01609723544371424,39,20,1214
pre_filter,sustraccion,0.002,100,33,0.7878787878787878,24185.0,73304,31,0.005693527334577604,40,26,2811,19,0.01011428198666851,39,16,1636,17,0.016415711055742577,37,22,1117
pre_filter,sustraccion,0.005,100,33,0.7878787878787878,17901.0,63695,31,0.006101038344370734,38,28,2356,19,0.011090560047274553,36,19,1357,17,0.017250303461504003,34,25,952
pre_filter,sustraccion,0.01,100,33,0.6666666666666666,12368.0,49511,31,0.004945068285451271,26,40,1822,19,0.011669408965022549,34,21,1079,17,0.018793542718947932,30,29,743
pre_filter,sustraccion,0.02,100,33,0.030303030303030304,3854.0,25604,31,0.0028869588682677466,7,59,771,19,0.018292360883941382,24,31,393,17,0.029912152271101472,21,38,293
pre_filter,sustraccion,0.05,100,33,0.0,74.0,3537,31,0.0,0,66,80,19,0.02371913842905901,7,48,45,17,0.006002524977221209,7,52,29
pre_filter,sustraccion,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
pre_filter,sustraccion,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
pre_filter,variational_spline,0.0,100,33,0.9696969696969697,18837.0,278959,31,0.0007354880872298963,6,60,25,19,0.0232966704206774,13,42,6,17,0.17623802869724492,14,45,3
pre_filter,variational_spline,0.001,100,33,0.2727272727272727,7272.0,76257,31,0.0009324498990151499,5,61,488,19,0.013641952548105588,11,44,202,17,0.08473287962431855,12,47,71
pre_filter,variational_spline,0.002,100,33,0.24242424242424243,6801.0,68034,31,0.0009087370667007885,4,62,502,19,0.014107506189152207,12,43,188,17,0.07680457870147246,12,47,74
pre_filter,variational_spline,0.005,100,33,0.21212121212121213,4975.0,54625,31,0.0009105549189761015,5,61,484,19,0.012964912907735101,11,44,203,17,0.07929259972811184,12,47,61
pre_filter,variational_spline,0.01,100,33,0.21212121212121213,2834.0,39383,31,0.0011123540503571608,4,62,422,19,0.01714996908987431,11,44,191,17,0.06392141212092932,12,47,56
pre_filter,variational_spline,0.02,100,33,0.18181818181818182,776.0,17652,31,0.0023809525051287244,1,65,209,19,0.01585331307969203,9,46,111,17,0.054668647665119564,11,48,23
pre_filter,variational_spline,0.05,100,33,0.0,0.0,1584,31,0.0,0,66,25,19,0.004633568772604983,2,53,18,17,0.002662783255800605,4,55,4
pre_filter,variational_spline,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0
