mode,method,threshold,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,small_n,small_lesionwise_mean,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_lesion_tp,large_lesion_fn,large_lesion_fp,present_dominant_found_rate,large_dominant_found_rate,large_detection_ratio_vs_baseline,large_detection_drop,keeps_large_detection_90pct,representative_curve
map_atlas_x_enhancement,atlas_map,0.0,100,33,1.0,7221032.0,7221032,31,7.656539199680472e-05,28,38,3,19,0.0006308809258227,19,36,0,17,0.0035061000748742,17,42,0,0.9552238805970149,1.0,0.019894117636195568,0.9801058823638045,False,True
map_atlas_x_enhancement,atlas_map,0.0001,100,33,1.0,45344.0,91541,31,0.0021459233362942,33,33,2579,19,0.0041051364172936,33,22,1642,17,0.0080926285248578,31,28,1427,0.835820895522388,1.0,0.04591874174194228,0.9540812582580577,False,True
map_atlas_x_enhancement,atlas_map,0.0002,100,33,1.0,37278.0,77822,31,0.0021835186585771,32,34,2540,19,0.0043446714285221,33,22,1683,17,0.0085105520958998,33,26,1396,0.835820895522388,1.0,0.04829010037623534,0.9517098996237646,False,True
map_atlas_x_enhancement,atlas_map,0.0005,100,33,1.0,28985.0,57542,31,0.0022853506811121,31,35,2421,19,0.0048612002942,34,21,1640,17,0.0088705926447052,34,25,1325,0.8059701492537313,1.0,0.05033302239180047,0.9496669776081995,False,True
map_atlas_x_enhancement,atlas_map,0.001,100,33,1.0,22221.0,41206,31,0.0028476428602256,29,37,2132,19,0.0059161058207361,35,20,1499,17,0.0085799602623891,32,27,1167,0.7910447761194029,1.0,0.04868393232614062,0.9513160676738593,False,True
map_atlas_x_enhancement,atlas_map,0.002,100,33,0.8181818181818182,14611.0,26071,31,0.0031381201520811,25,41,1785,19,0.0062895108444775,30,25,1303,17,0.0089804214328657,29,30,936,0.7611940298507462,1.0,0.05095620678039331,0.9490437932196067,False,True
map_atlas_x_enhancement,atlas_map,0.005,100,33,0.2424242424242424,7031.0,13635,31,0.0031084262019638,15,51,1234,19,0.0057633936127163,27,28,897,17,0.0080625143935937,25,34,650,0.6417910447761194,0.8823529411764706,0.04574786981670172,0.9542521301832982,False,True
map_atlas_x_enhancement,atlas_map,0.01,100,33,0.0,2681.0,6642,31,0.0026266117243462,8,58,648,19,0.0050225171184329,19,36,432,17,0.0068536748756955,19,40,353,0.5373134328358209,0.7647058823529411,0.038888739997593055,0.961111260002407,False,True
map_atlas_x_enhancement,atlas_map,0.02,100,33,0.0,284.0,2534,31,0.0027752175394977,2,64,152,19,0.0086858107212097,9,46,96,17,0.0095617104568244,10,49,90,0.26865671641791045,0.5294117647058824,0.05425452456263134,0.9457454754373686,False,True
map_atlas_x_enhancement,atlas_map,0.05,100,33,0.0,0.0,71,31,0.0,0,66,7,19,0.0,0,55,4,17,0.0001248112581807,2,57,4,0.029850746268656716,0.11764705882352941,0.0007081970849498679,0.9992918029150502,False,True
post_filter,variational_spline,0.0,100,33,0.9696969696969696,18837.0,278959,31,0.0007354880872298,6,60,25,19,0.0232966704206774,13,42,6,17,0.1762380286972449,14,45,3,0.4925373134328358,0.8235294117647058,1.0,0.0,True,True
post_filter,variational_spline,0.001,100,33,0.8181818181818182,18518.0,278959,31,0.0007180124947418,5,61,22,19,0.0232877739403384,12,43,6,17,0.1625716320653309,13,46,2,0.44776119402985076,0.7647058823529411,0.9224548939128729,0.07754510608712706,True,True
post_filter,variational_spline,0.002,100,33,0.7272727272727273,16574.0,278959,31,0.0007180124947418,5,61,16,19,0.0232777230810729,11,44,5,17,0.142557144858395,11,48,2,0.40298507462686567,0.6470588235294118,0.8088898060888465,0.19111019391115347,False,True
post_filter,variational_spline,0.005,100,33,0.303030303030303,0.0,167058,31,0.0005895217015807,2,64,7,19,0.0168751502190532,4,51,3,17,0.123365906669813,7,52,0,0.19402985074626866,0.4117647058823529,0.6999959519618796,0.3000040480381204,False,True
