case_id,method,pred_vox,n_components_ge10
BraTS-GLI-00543-101,otsu_T1c,13935,1
BraTS-GLI-00543-101,gmm_T1c,16769,1
BraTS-GLI-00543-101,sustraccion,35620,1
BraTS-GLI-00543-101,gmm_2d,43524,1
BraTS-GLI-00543-101,variational_spline,16775,1
BraTS-GLI-00548-100,otsu_T1c,13841,1
BraTS-GLI-00548-100,gmm_T1c,1109623,1
BraTS-GLI-00548-100,sustraccion,102144,1
BraTS-GLI-00548-100,gmm_2d,90129,1
BraTS-GLI-00548-100,variational_spline,209037,1
BraTS-GLI-00549-100,otsu_T1c,13510,1
BraTS-GLI-00549-100,gmm_T1c,20792,1
BraTS-GLI-00549-100,sustraccion,95234,1
BraTS-GLI-00549-100,gmm_2d,80673,1
BraTS-GLI-00549-100,variational_spline,20792,1
BraTS-GLI-02198-101,otsu_T1c,696896,1
BraTS-GLI-02198-101,gmm_T1c,893152,1
BraTS-GLI-02198-101,sustraccion,66627,1
BraTS-GLI-02198-101,gmm_2d,71557,1
BraTS-GLI-02198-101,variational_spline,167058,1
BraTS-GLI-02205-100,otsu_T1c,12073,1
BraTS-GLI-02205-100,gmm_T1c,13371,1
BraTS-GLI-02205-100,sustraccion,110425,1
BraTS-GLI-02205-100,gmm_2d,802975,1
BraTS-GLI-02205-100,variational_spline,13371,1
BraTS-GLI-02206-104,otsu_T1c,687810,1
BraTS-GLI-02206-104,gmm_T1c,1180551,1
BraTS-GLI-02206-104,sustraccion,86466,1
BraTS-GLI-02206-104,gmm_2d,116453,1
BraTS-GLI-02206-104,variational_spline,193773,1
BraTS-GLI-02208-100,otsu_T1c,13772,1
BraTS-GLI-02208-100,gmm_T1c,19990,1
BraTS-GLI-02208-100,sustraccion,76915,1
BraTS-GLI-02208-100,gmm_2d,150402,1
BraTS-GLI-02208-100,variational_spline,19993,1
BraTS-GLI-02220-102,otsu_T1c,454265,1
BraTS-GLI-02220-102,gmm_T1c,1046839,1
BraTS-GLI-02220-102,sustraccion,53831,1
BraTS-GLI-02220-102,gmm_2d,74455,1
BraTS-GLI-02220-102,variational_spline,151459,1
BraTS-GLI-02227-100,sustraccion,68235,1
BraTS-GLI-02227-100,gmm_2d,87608,1
BraTS-GLI-02229-100,otsu_T1c,13528,1
BraTS-GLI-02229-100,gmm_T1c,14117,1
BraTS-GLI-02229-100,sustraccion,77112,1
BraTS-GLI-02229-100,gmm_2d,148186,1
BraTS-GLI-02229-100,variational_spline,14118,1
BraTS-GLI-02230-100,gmm_T1c,1152995,1
BraTS-GLI-02230-100,sustraccion,73128,1
BraTS-GLI-02230-100,gmm_2d,93089,1
BraTS-GLI-02230-100,variational_spline,184551,1
BraTS-GLI-02245-100,otsu_T1c,18535,1
BraTS-GLI-02245-100,gmm_T1c,19865,1
BraTS-GLI-02245-100,sustraccion,52092,1
BraTS-GLI-02245-100,gmm_2d,177358,1
BraTS-GLI-02245-100,variational_spline,19868,1
BraTS-GLI-02248-102,otsu_T1c,11100,1
BraTS-GLI-02248-102,gmm_T1c,12388,1
BraTS-GLI-02248-102,sustraccion,65089,1
BraTS-GLI-02248-102,gmm_2d,123514,1
BraTS-GLI-02248-102,variational_spline,12388,1
BraTS-GLI-02635-100,otsu_T1c,464359,1
BraTS-GLI-02635-100,gmm_T1c,498518,1
BraTS-GLI-02635-100,sustraccion,57627,1
BraTS-GLI-02635-100,gmm_2d,56855,1
BraTS-GLI-02635-100,variational_spline,142154,1
BraTS-GLI-02664-100,otsu_T1c,578786,1
BraTS-GLI-02664-100,gmm_T1c,10389,1
BraTS-GLI-02664-100,sustraccion,121818,1
BraTS-GLI-02664-100,gmm_2d,118988,1
BraTS-GLI-02664-100,variational_spline,10389,1
BraTS-GLI-02701-100,otsu_T1c,24591,1
BraTS-GLI-02701-100,gmm_T1c,27803,1
BraTS-GLI-02701-100,sustraccion,118798,1
BraTS-GLI-02701-100,gmm_2d,123218,1
BraTS-GLI-02701-100,variational_spline,27798,1
BraTS-GLI-02789-101,otsu_T1c,13813,1
BraTS-GLI-02789-101,gmm_T1c,15792,1
BraTS-GLI-02789-101,gmm_2d,94636,1
BraTS-GLI-02789-101,variational_spline,15792,1
BraTS-GLI-02793-100,otsu_T1c,19983,1
BraTS-GLI-02793-100,gmm_T1c,21010,1
BraTS-GLI-02793-100,sustraccion,115867,1
BraTS-GLI-02793-100,gmm_2d,140733,1
BraTS-GLI-02793-100,variational_spline,21010,1
BraTS-GLI-02793-101,otsu_T1c,16382,1
BraTS-GLI-02793-101,gmm_T1c,18837,1
BraTS-GLI-02793-101,sustraccion,54294,1
BraTS-GLI-02793-101,gmm_2d,88785,1
BraTS-GLI-02793-101,variational_spline,18837,1
BraTS-GLI-02828-100,otsu_T1c,740909,1
BraTS-GLI-02828-100,gmm_T1c,1420869,1
BraTS-GLI-02828-100,sustraccion,135522,1
BraTS-GLI-02828-100,gmm_2d,160521,1
BraTS-GLI-02828-100,variational_spline,278959,1
BraTS-GLI-02835-100,otsu_T1c,19628,1
BraTS-GLI-02835-100,gmm_T1c,27959,1
BraTS-GLI-02835-100,sustraccion,72714,1
BraTS-GLI-02835-100,gmm_2d,91858,1
BraTS-GLI-02835-100,variational_spline,27953,1
BraTS-GLI-02836-101,otsu_T1c,13813,1
BraTS-GLI-02836-101,gmm_T1c,15997,1
BraTS-GLI-02836-101,sustraccion,29913,1
BraTS-GLI-02836-101,gmm_2d,104381,1
BraTS-GLI-02836-101,variational_spline,15997,1
BraTS-GLI-02851-100,otsu_T1c,17160,1
BraTS-GLI-02851-100,gmm_T1c,20360,1
BraTS-GLI-02851-100,sustraccion,82051,1
BraTS-GLI-02851-100,gmm_2d,77540,1
BraTS-GLI-02851-100,variational_spline,20360,1
BraTS-GLI-02866-100,otsu_T1c,14396,1
BraTS-GLI-02866-100,gmm_T1c,18512,1
BraTS-GLI-02866-100,sustraccion,98824,1
BraTS-GLI-02866-100,gmm_2d,120007,1
BraTS-GLI-02866-100,variational_spline,18518,1
BraTS-GLI-02866-101,otsu_T1c,12156,1
BraTS-GLI-02866-101,gmm_T1c,13851,1
BraTS-GLI-02866-101,sustraccion,64657,1
BraTS-GLI-02866-101,gmm_2d,40635,1
BraTS-GLI-02866-101,variational_spline,13853,1
BraTS-GLI-02895-101,otsu_T1c,10694,1
BraTS-GLI-02895-101,gmm_T1c,13041,1
BraTS-GLI-02895-101,sustraccion,19488,1
BraTS-GLI-02895-101,gmm_2d,63991,1
BraTS-GLI-02895-101,variational_spline,13041,1
BraTS-GLI-02897-101,otsu_T1c,11827,1
BraTS-GLI-02897-101,gmm_T1c,15370,1
BraTS-GLI-02897-101,sustraccion,85811,1
BraTS-GLI-02897-101,gmm_2d,116897,1
BraTS-GLI-02897-101,variational_spline,15371,1
BraTS-GLI-02901-100,otsu_T1c,16726,1
BraTS-GLI-02901-100,gmm_T1c,18667,1
BraTS-GLI-02901-100,sustraccion,107373,1
BraTS-GLI-02901-100,gmm_2d,269262,1
BraTS-GLI-02901-100,variational_spline,18667,1
BraTS-GLI-02934-101,otsu_T1c,11031,1
BraTS-GLI-02934-101,gmm_T1c,10852,1
BraTS-GLI-02934-101,sustraccion,87033,1
BraTS-GLI-02934-101,gmm_2d,120332,1
BraTS-GLI-02934-101,variational_spline,10852,1
BraTS-GLI-02984-101,otsu_T1c,13855,1
BraTS-GLI-02984-101,gmm_T1c,16573,1
BraTS-GLI-02984-101,sustraccion,87029,1
BraTS-GLI-02984-101,gmm_2d,47090,1
BraTS-GLI-02984-101,variational_spline,16574,1
BraTS-GLI-02985-101,otsu_T1c,553928,1
BraTS-GLI-02985-101,gmm_T1c,1033716,1
BraTS-GLI-02985-101,sustraccion,11504,1
BraTS-GLI-02985-101,gmm_2d,72903,1
BraTS-GLI-02985-101,variational_spline,29469,1
BraTS-GLI-02992-101,otsu_T1c,10295,1
BraTS-GLI-02992-101,gmm_T1c,11004,1
BraTS-GLI-02992-101,gmm_2d,23993,1
BraTS-GLI-02992-101,variational_spline,11005,1
BraTS-GLI-03010-100,otsu_T1c,17138,1
BraTS-GLI-03010-100,gmm_T1c,21903,1
BraTS-GLI-03010-100,sustraccion,85505,1
BraTS-GLI-03010-100,gmm_2d,191346,1
