floor_metric,geometry_predictor,n,spearman_rho,p_value
floor_hd95,gt_vox,67,0.051541454654295125,0.6787122214312138
floor_hd95,gt_components,67,0.6445588796272784,3.957386784254857e-09
floor_hd95,surface_area_proxy,67,0.08402590017478785,0.499018225967167
floor_hd95,volume_surface_ratio,67,-0.017220221289679868,0.8899944739783635
floor_hd95,surface_volume_ratio,67,0.017220221289679868,0.8899944739783635
floor_hd95,isoperimetric_quotient,67,-0.31335614731533334,0.009821655062362423
floor_hd95,thin_shell_proxy,67,0.31335614731533334,0.009821655062362423
floor_asd,gt_vox,67,0.09783497954704182,0.4309099360316931
floor_asd,gt_components,67,0.7191384919449084,7.15715648403104e-12
floor_asd,surface_area_proxy,67,0.14404725085770448,0.2448434477531803
floor_asd,volume_surface_ratio,67,-0.03038979956452195,0.8071329659733278
floor_asd,surface_volume_ratio,67,0.03038979956452195,0.8071329659733278
floor_asd,isoperimetric_quotient,67,-0.3994372998572556,0.0008123259698963642
floor_asd,thin_shell_proxy,67,0.3994372998572556,0.0008123259698963642
floor_chamfer,gt_vox,67,0.3192058265988227,0.008465727959707722
floor_chamfer,gt_components,67,0.7374797656338424,1.0989165877168944e-12
floor_chamfer,surface_area_proxy,67,0.36154483145736915,0.0026464215493389076
floor_chamfer,volume_surface_ratio,67,0.16759286050060396,0.17522629339795912
floor_chamfer,surface_volume_ratio,67,-0.16759286050060396,0.17522629339795912
floor_chamfer,isoperimetric_quotient,67,-0.5164869152515338,7.672868303464432e-06
floor_chamfer,thin_shell_proxy,67,0.5164869152515338,7.672868303464432e-06
